variable,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.
EARNED_EXPOSURE,1e-04,0.0822,0.211,0.238449346612498,0.3973,0.9998
ULTIMATE_CLAIM_COUNT,0,0,0,0.00665061370545599,0,4
ULTIMATE_AMOUNT,-9501.78,0,0,21.7832124578513,0,157165.78154
