mod_num,time_to_create,nfolds,ntrees,max_depth,mtries,min_split_improvement,sample_rate,categorical_encoding,histogram_type,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,logloss
1,7792.147,5,100,20,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.9605689042469605,-29.650547634394268,0.04928886969129942,0.050458307010827645,0.22201096750228225,0.22462926570424355,0.2766737482016106
2,5658.588000000001,5,100,15,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.9343899501878584,-75.47193749912815,0.08201256226517703,0.125891535318406,0.2863783550919605,0.35481197177999224,0.49283323518400557
3,2907.293,5,100,10,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.8948898485362774,-133.36204041255252,0.13138768932965325,0.22119282065061838,0.36247439817130983,0.47031140816550304,0.692873900482145
4,2078.4519999999998,5,100,7,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.8550745268875,-172.05372404186363,0.1811568413906251,0.28488880659583576,0.4256252358479524,0.5337497602770757,0.8030336940827553
5,1590.7919999999995,5,100,5,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.8173958091455497,-200.7558724501666,0.22825523856806298,0.33213957136296623,0.4777606498740379,0.5763155137274775,0.8794367474597237
6,5695.778,5,100,20,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.9206298360167859,-65.13909284718822,0.09921270497901755,0.1088811427485286,0.3149804834890847,0.3299714271698818,0.4661508196014756
7,3890.4799999999977,5,100,15,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.9091934803456405,-86.66666759058073,0.11350814956794936,0.14432080237737377,0.3369097053632462,0.3798957783094908,0.543307208406122
8,2767.347999999998,5,100,10,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.8819909015761656,-128.8476459343322,0.14751137302979306,0.21376102186949597,0.3840720935316611,0.4623429699579047,0.6701097881326654
9,1955.641,5,100,7,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.8481254492224618,-169.8431629779244,0.1898431884719228,0.2812496817697181,0.4357099820659642,0.5303297858594387,0.7900593302935258
10,1612.6839999999997,5,100,5,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.8144813136093043,-200.54582756019994,0.23189835798836972,0.3317937860389839,0.4815582602223429,0.5760154390630375,0.8761790974717526
11,4541.205000000001,5,100,20,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.9565773164285533,-33.08401125274843,0.05427835446430839,0.05611062890184059,0.23297715438280292,0.2368768222132351,0.30085933578099894
12,3052.549000000001,5,100,15,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.9288998138828714,-81.52841579741641,0.08887523264641081,0.13586198168773997,0.29811949390539827,0.3685946034435935,0.5149438892387518
13,2002.2930000000015,5,100,10,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.8856697912532069,-143.29054417493802,0.14291276093349148,0.237537569102631,0.3780380416485773,0.4873782608022551,0.7091590842430158
14,1407.3349999999991,5,100,7,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.8381554198628595,-189.50767874879145,0.2023057251714257,0.3136222901100741,0.4497840872812484,0.56001990153036,0.8347380437880527
15,989.598,5,100,5,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.7951514165948241,-225.39905570942395,0.25606072925646994,0.37270828554882185,0.5060244354341694,0.6104983911107562,0.9240081909846366
16,3238.911,5,100,20,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.8873120119058171,-98.64290045673467,0.14085998511772865,0.16403661437531175,0.37531318271242303,0.40501433848113544,0.5745613723000011
17,2698.220000000001,5,100,15,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.8811343413569873,-114.97811770380127,0.1485820733037659,0.1909283820778937,0.385463452617451,0.43695352393348846,0.6247735451727896
18,1824.4479999999967,5,100,10,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.8580811102435357,-153.76730371934102,0.17739861219558042,0.2547848808269049,0.4211871462848557,0.5047622022565724,0.7328065263068669
19,1240.8709999999992,5,100,7,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.8209396143747423,-195.72464715503133,0.22382548203157215,0.32385694249738267,0.4731019784693065,0.5690843017492072,0.847253035120301
20,941.3019999999997,5,100,5,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.7842750774207708,-229.31544700402193,0.2696561532240365,0.37915562465266245,0.5192842701488622,0.6157561405724368,0.933516288679228
