mod_num,time_to_create,nfolds,distribution,model_id,ntrees,max_depth,learn_rate,min_split_improvement,sample_rate,nbins,categorical_encoding,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,logloss
1,1601.9900000000002,5,multinomial,temp_forest_mod,300,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5895031992396655,-322.5910335076602,0.5131210009504181,0.5327100810544201,0.7163246477334269,0.7298699069385037,1.3073082667311546
2,2626.473,5,multinomial,temp_forest_mod,500,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6099474978433188,-312.8589235597031,0.48756562769585154,0.5166886449132236,0.698258997576008,0.7188105765173629,1.2705300791128735
3,5226.2609999999995,5,multinomial,temp_forest_mod,1000,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6459361073707751,-294.60355754022777,0.4425798657865312,0.4866358421315835,0.6652667628752629,0.697592891399836,1.2082104906910134
4,2429.620000000001,5,multinomial,temp_forest_mod,300,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6059328549211598,-316.0970307081802,0.49258393134855044,0.5220193622165734,0.7018432384432798,0.722509074141338,1.2769008601243734
5,4060.5879999999997,5,multinomial,temp_forest_mod,500,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6346056990164657,-303.1559317742998,0.45674287622941795,0.5007151443979498,0.6758275491790919,0.7076122839507167,1.2282929005597254
6,8153.094000000001,5,multinomial,temp_forest_mod,1000,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6835648969049848,-279.95465468335556,0.39554387886876907,0.46252016085434566,0.6289227924545023,0.6800883478301519,1.1516691321932913
7,3351.208999999999,5,multinomial,temp_forest_mod,300,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6196427636708455,-311.0893414833269,0.4754465454114433,0.5137754794861089,0.6895263195929822,0.7167813331038336,1.257984090117171
8,5640.335,5,multinomial,temp_forest_mod,500,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6539851974371422,-295.719704783308,0.4325185032035724,0.4884732938121346,0.6576613894730117,0.6989086448257272,1.2016019122276629
9,19114.001,5,multinomial,temp_forest_mod,1000,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.7119665067054327,-269.86107547160043,0.3600418666182092,0.44590365778954116,0.6000348878342069,0.6677601798471823,1.1121708998239692
10,5303.269,5,multinomial,temp_forest_mod,300,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6427256243371142,-301.1885172784761,0.44659296957860734,0.49747629836387686,0.6682761177676539,0.7053199971388,1.22167573176592
11,16352.774000000001,5,multinomial,temp_forest_mod,500,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6873401435249842,-281.6334822135603,0.3908248205937699,0.4652839220747893,0.6251598360369689,0.6821172348466129,1.1480276377373075
12,33624.599,5,multinomial,temp_forest_mod,1000,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.7593598105203541,-249.0610865808962,0.3008002368495575,0.4116617826430353,0.5484525839574078,0.6416087457657005,1.0312456239184944
13,3598.084,5,multinomial,temp_forest_mod,300,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6716093577434199,-288.89982037627226,0.4103673274139698,0.47724609404744217,0.6405991940472372,0.690830003725549,1.1690347610233462
14,3016.802,5,multinomial,temp_forest_mod,500,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.7178198939517948,-270.4263444533284,0.35280658644765545,0.44683422895466196,0.5939752406015384,0.6684566021475605,1.1129598075138227
15,9006.794,5,multinomial,temp_forest_mod,1000,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.798843140632344,-229.63939530103218,0.2513555508219464,0.3796889228769276,0.5013537182687952,0.6161890317726595,0.9445057142337007
15,4647.622,5,multinomial,temp_forest_mod,1000,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.8044716725340965,-212.803929306944,0.2444037903595789,0.35197362323749143,0.4943721172958472,0.593273649539141,0.9244726143676778
16,2832.208,5,multinomial,temp_forest_mod,300,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.685422244982409,-279.63171564736365,0.3932131729367905,0.4619885241208611,0.6270671199614842,0.6796973768677212,1.1288061193657979
17,3362.211,5,multinomial,temp_forest_mod,500,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.750865173401845,-243.69883312793635,0.3113463798177191,0.40283420036859335,0.5579842110828219,0.6346922091601513,1.0235029391263812
18,6731.17,5,multinomial,temp_forest_mod,1000,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.8401780982788377,-196.26810987261135,0.1998611217020393,0.3247516152118701,0.44705829787851975,0.5698698230402011,0.8336459653368341
19,354.4929999999995,5,multinomial,temp_forest_mod,300,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5546946464813391,-338.4885616072972,0.5568650259802169,0.5588813052404638,0.7462338949553396,0.7475836443104301,1.376704617102601
20,576.544,5,multinomial,temp_forest_mod,500,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.557370046354444,-337.4318856136483,0.5531440072106205,0.5571417577995993,0.7437365173303113,0.746419290881204,1.3706084086590553
21,1146.4160000000002,5,multinomial,temp_forest_mod,1000,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5644576541768271,-334.1740082188141,0.5442867941817214,0.5517784938294732,0.7377579509444283,0.74281794124097,1.356105301760704
22,502.50099999999975,5,multinomial,temp_forest_mod,300,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5562486472153743,-337.9063107821393,0.5545453927435215,0.5579227778025998,0.7446780463687119,0.7469422854562459,1.3725700662002205
23,833.4270000000001,5,multinomial,temp_forest_mod,500,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5604046137197707,-336.0703337587629,0.5493517813596979,0.554900310034148,0.7411826909471766,0.744916310758563,1.3638191221555835
24,1643.5189999999998,5,multinomial,temp_forest_mod,1000,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5704259812053207,-331.71527421795673,0.5368283194407011,0.5477308155774212,0.7326856893925943,0.7400883836255108,1.343219250674495
25,661.4050000000007,5,multinomial,temp_forest_mod,300,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5577593237165734,-337.1886199476509,0.5526575366538241,0.5567412829432767,0.7434094004341243,0.7461509786519593,1.3696406492573567
26,1093.931,5,multinomial,temp_forest_mod,500,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5630069209292226,-335.0229504344372,0.546062853794666,0.5531760606025475,0.7389606578124887,0.7437580659075554,1.3619100892167064
27,2187.7430000000004,5,multinomial,temp_forest_mod,1000,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5755776691413566,-329.6491274034341,0.5303545532017858,0.5443294319695263,0.7282544563555968,0.7377868472462262,1.3395116229378752
28,1037.359,5,multinomial,temp_forest_mod,300,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5605725332673004,-336.03439624721227,0.5488651025011108,0.5548411480898768,0.7408543058531217,0.7448765992363278,1.3660454538993925
29,1736.633,5,multinomial,temp_forest_mod,500,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5675778397362332,-333.1824673993413,0.5403716144428549,0.5501461748353883,0.7350997309500629,0.7417183932163125,1.3539355140762839
30,3191.065,5,multinomial,temp_forest_mod,1000,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5845793126710064,-325.9772268569113,0.5194217757595966,0.5382845845071024,0.7207092172017759,0.7336788020020085,1.3212673918780158
31,1401.441,5,multinomial,temp_forest_mod,300,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5627813228383737,-334.849297044031,0.5462711531027779,0.5528901845982717,0.7391015851036837,0.7435658576066223,1.3615403288554775
32,2310.728,5,multinomial,temp_forest_mod,500,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5714209303270147,-331.0027873321842,0.5356670314418294,0.5465578876920102,0.7318927731859561,0.7392955347437249,1.344402141915915
33,4531.976000000001,5,multinomial,temp_forest_mod,1000,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5917293330813684,-322.6394824474334,0.5105524817336644,0.5327898398733028,0.7145295527363892,0.7299245439586908,1.3063393596840194
34,1990.138,5,multinomial,temp_forest_mod,300,10,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5664162958323615,-333.53932599005185,0.5422607487519564,0.5507336514620479,0.7363835608919828,0.7421143115868659,1.3545024331483924
35,3360.119,5,multinomial,temp_forest_mod,500,10,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5766225594914292,-328.8791284813856,0.5292434654068655,0.5430618251890481,0.7274912132849891,0.7369272862291423,1.3361263488274355
36,6585.413,5,multinomial,temp_forest_mod,1000,10,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.6016818691731198,-317.56486613785364,0.49837815798687196,0.5244357787724956,0.7059590342129435,0.7241793830070665,1.288774685298882
