mod_num,time_to_create,nfolds,activation,total_nodes,num_layers,adaptive_rate,rate,rate_decay,momentum_start,momentum_stable,input_dropout_ratio,initial_weight_distribution,initial_weight_scale,loss,distribution,stopping_metric,stopping_tolerance,categorical_encoding,seed,mini_batch_size,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,logloss
11,5757.919000000001,5,Tanh,400,2,FALSE,0.005,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8498188344356324,-430.00368117042456,0.18745286186557636,0.7095376019608254,0.43295826804159354,0.8423405498732833,2.0811835853277874
12,3371.6319999999996,5,Tanh,300,3,FALSE,0.005,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8525036607528129,-25.47622063254471,0.18410172009705808,0.04358634257040908,0.42907076350767376,0.208773424004132,0.17825858422934462
13,1657.973,5,Tanh,100,1,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8988817787553349,-160.18933738231306,0.12621356271832182,0.2653571208424957,0.35526548202481173,0.5151282566919579,0.7209549021502684
14,3207.087,5,Tanh,200,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8950619694769304,-124.35718919097495,0.1309813655138776,0.20636863046175138,0.36191347793896483,0.4542781421791625,0.5932747861755018
15,6957.456,5,Tanh,400,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8891659778376279,-76.00932788916771,0.13834061394006644,0.12677621149479043,0.37194168083191004,0.35605647233941756,0.4262695439932897
16,6115.793999999998,5,Tanh,300,3,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8914769132002733,-117.8672339787204,0.13545615472251826,0.19568457494363756,0.36804368588867037,0.44236249269534317,0.5571832162598183
17,1832.946,5,Tanh,100,1,FALSE,5e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8847135728248887,-99.71112370819822,0.14389800896151395,0.16579517143019346,0.3793389104237976,0.40717953218475195,0.48572633393507736
18,3663.584999999999,5,Tanh,200,2,FALSE,5e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8934171427676696,-186.906441314598,0.13303440240945116,0.309340016310982,0.36473881396069047,0.5561834376453348,0.823158213515189
19,8162.424999999999,5,Tanh,400,2,FALSE,5e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8986359771328729,-127.71237699086757,0.1265203669531177,0.2118920911876534,0.35569701566518336,0.46031738093151925,0.6407765484268151
19,9354.535,5,Tanh,400,2,FALSE,5e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8984476104594005,-114.02150064022825,0.12675548213477045,0.18935355613803354,0.35602736149735803,0.4351477405870718,0.589551911470406
20,11232.005000000001,5,Tanh,300,3,FALSE,5e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8946168391984158,-162.35737259882103,0.13153696743837334,0.26892623771015284,0.36268025509858315,0.5185809847170959,0.7262004478679455
