mod_num,time_to_create,nfolds,activation,total_nodes,num_layers,adaptive_rate,rate,rate_decay,momentum_start,momentum_stable,input_dropout_ratio,initial_weight_distribution,initial_weight_scale,loss,distribution,stopping_metric,stopping_tolerance,categorical_encoding,seed,mini_batch_size,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,logloss
1,1154.402,5,Tanh,100,1,FALSE,0.1,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.848840570798424,-15.491492738718499,0.18867390924368554,0.027149035430065912,0.43436610047710394,0.16476964353322462,0.14213879787748004
2,1742.351,5,Tanh,200,2,FALSE,0.1,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.858091171476554,-402.6091688302704,0.17712751083497233,0.6644395263714584,0.42086519318538607,0.8151316006458457,1.9461990493718988
3,4840.015,5,Tanh,400,2,FALSE,0.1,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.9077706462731489,-174.622491489711,0.11511867176647325,0.28911762684625947,0.33929142601379314,0.5376965936718024,0.7936754940330312
4,3146.925,5,Tanh,300,3,FALSE,0.1,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8055131520988537,-583.9728071454235,0.2427542501570175,0.9630084867654202,0.49270097438204596,0.9813299581513958,4.8069952799736315
5,1304.385,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8226425150535013,-6.687869349394747,0.2213737521716915,0.012656115529093976,0.4705037217405315,0.1124994023499413,0.07319367882229494
6,3737.503,5,Tanh,200,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8292748598141529,-8.179786485479726,0.21309540380762534,0.015112176470818105,0.461622577229088,0.12293159264736671,0.08703866305128709
7,5748.734,5,Tanh,400,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8432409605714524,-18.34182735008613,0.19566322084233392,0.031841384180878646,0.44233835560838936,0.17844154275526383,0.1488995854580118
8,2914.3550000000005,5,Tanh,300,3,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.848209477642196,-436.87311080443146,0.1894616259842912,0.7208463653015834,0.4352718989141054,0.8490267164828109,2.101067461273544
9,1271.0710000000001,5,Tanh,100,1,FALSE,0.005,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.9033536043016085,-189.1478902634181,0.12063192740964332,0.31302999015933664,0.3473210725102111,0.5594908311664604,0.8582387562561341
10,2506.146,5,Tanh,200,2,FALSE,0.005,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8701508247899306,-34.08658705373829,0.16207491407156385,0.05776111417771231,0.40258528794724213,0.24033542014799297,0.23642527432230773
