mod_num,time_to_create,nfolds,activation,total_nodes,num_layers,adaptive_rate,rate,rate_decay,momentum_start,momentum_stable,input_dropout_ratio,initial_weight_distribution,initial_weight_scale,loss,distribution,stopping_metric,stopping_tolerance,categorical_encoding,seed,mini_batch_size,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,9.455000000000155,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.7882874896587304,-0.8343778621770148,4.126162794762429,4.1128057797785145,2.031295841270402,2.0280053697607694,0.217313129227466,0.213544511853051,1.6036838869307444,1.6096403707779794
2,15.560999999999922,5,Tanh,200,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.17482864267485332,-0.18002324949217585,2.710713050143469,2.6456961462807476,1.646424322628729,1.62655960428161,0.182382581602542,0.176804739395442,1.299033237736667,1.2920266537514338
3,24.72199999999998,5,Tanh,400,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.35706005288236975,-0.39557637620588393,3.131180379464683,3.12898160435172,1.76951416481041,1.7688927622531898,0.194258899393026,0.191144708028838,1.4114714210674386,1.4149572963339365
4,18.597999999999956,5,Tanh,300,3,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.11469245329451372,-0.13404284590598126,2.571959237529538,2.542604807508583,1.603732907166757,1.5945547364416761,0.177281858853132,0.173238173855645,1.2898668879196027,1.279342054528436
5,8.38000000000011,5,Tanh,100,1,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.02120809189675099,-0.03698081406829834,2.356260309855898,2.324984821043359,1.535011501538636,1.524790090813604,0.172345637924995,0.167945306522156,1.2172286033499065,1.2144854767832285
6,16.55600000000004,5,Tanh,200,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.005227071918046278,-0.018928429637677047,2.319386881819408,2.284510089770202,1.5229533419705963,1.5114595891952263,0.170394179878108,0.165859893071711,1.215549501158759,1.2137239426635191
7,28.779999999999973,5,Tanh,400,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.010772038744890189,-0.045512544636683305,2.3321809297291662,2.3441135684604935,1.527147972440512,1.5310498255969638,0.171260936759632,0.16813992089739,1.217119475384479,1.2251826703836617
8,21.687000000000126,5,Tanh,300,3,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.007372627111645991,-0.0063424926726791675,2.2903152646089997,2.256291522941152,1.5133787578160993,1.5020957103131451,0.169958328747286,0.165349836624411,1.2015480131020877,1.2009172116075708
9,9.420000000000073,5,Tanh,100,1,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.0761496323562374,-0.10058162984600094,2.4830283722853506,2.4675823785709703,1.5757627906145488,1.5708540284096961,0.175830140013149,0.171976736665279,1.2485398216775363,1.2512336261026618
10,17.564999999999827,5,Tanh,200,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.4407436698625171,-0.6272544993000824,3.324265791576204,3.648420452452095,1.8232569186969247,1.910083886234344,0.198611344726576,0.204823227336631,1.4484697482570488,1.5200900368227896
11,29.829999999999927,5,Tanh,400,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.6496150596846217,-0.9644739379978622,3.8062002470583916,4.404490444969296,1.95094855059235,2.098687791208901,0.211948266868078,0.225343179743953,1.5539962880775657,1.6685491469742033
12,20.645999999999958,5,Tanh,300,3,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-2.4711940062499713,-2.9914961109616915,8.009177296612561,8.949218486339628,2.83004899191031,2.991524441875685,0.315909777828747,0.334422268243184,2.2511398659691455,2.3846814828114185
13,8.40300000000002,5,Tanh,100,1,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-8.620236259309026,-9.197972247043733,22.197024337267248,22.86457990170347,4.7113718105523414,4.781692158818201,NaN,NaN,3.7424598608759516,3.8307435984247475
14,18.59999999999991,5,Tanh,200,2,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-17.75938905209353,-18.97958415167385,43.28403212952828,44.795650269707586,6.579060125088406,6.692955271754592,NaN,NaN,5.2443174058366955,5.362114756821254
15,31.860999999999876,5,Tanh,400,2,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-31.46387765336786,-38.411843601949656,74.90475939783519,88.36415958784812,8.654753572334407,9.400221252068917,NaN,NaN,6.907883039030646,7.515698762228281
16,20.673999999999978,5,Tanh,300,3,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-25.979621481852657,-29.371698756160974,62.25079078109412,68.09551116027198,7.889917032586219,8.252000433850691,NaN,NaN,6.283376628194743,6.590934214336996
17,9.429000000000087,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.39071390719403065,-0.4487672106997129,3.2088308033278112,3.2482392426214255,1.791320966026974,1.8022872253393534,0.196312551184066,0.194180112106706,1.3988271334353097,1.4161199445951216
18,16.557000000000244,5,Tanh,200,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.11117173165439942,-0.12617211176894627,2.563835783819683,2.5249580611553095,1.6011982337673505,1.5890116617430186,0.178543340259721,0.173833956815081,1.267264749828846,1.2682345907791854
19,28.776000000000295,5,Tanh,400,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.2800250826218842,-0.3396871301010982,2.9534355649297983,3.0036739351158785,1.7185562443312115,1.733111056775035,0.189359215187988,0.187263914953896,1.3708532334705459,1.391787260829301
20,21.684999999999945,5,Tanh,300,3,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.1404241708213565,-0.1817091303252174,2.631330706668908,2.6494760111478053,1.622137696580937,1.6277211097567683,0.182696397844424,0.179636444098493,1.2502325841085264,1.2623268855469085
21,10.444999999999709,5,Tanh,100,1,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.03559264704235021,-0.05624497476438317,2.389450172562093,2.3681764409855073,1.545784646243484,1.5388880534286784,0.174737263720762,0.170515368922645,1.2057963131653924,1.2099737762991836
