mod_num,time_to_create,nfolds,ntrees,max_depth,mtries,min_split_improvement,sample_rate,categorical_encoding,histogram_type,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,9.439,5,100,3,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,6.280175268713606e-10,-8.083501942479643e-6,2.317979021479516,2.242089326552907,1.5224910579308886,1.4973607870359458,0.17111908988099842,0.16494705497319026,1.2062419309534578,1.192542854409374
2,10.415999999999997,5,200,3,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,1.3918843855265095e-9,-8.083501942479643e-6,2.317979019708889,2.242089326552907,1.5224910573493984,1.4973607870359458,0.1711190966666533,0.16494705497319026,1.2062418504826253,1.192542854409374
3,8.301000000000002,5,100,5,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,6.280175268713606e-10,-8.083501942479643e-6,2.317979021479516,2.242089326552907,1.5224910579308886,1.4973607870359458,0.17111908988099842,0.16494705497319026,1.2062419309534578,1.192542854409374
4,10.320000000000007,5,200,5,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,1.3918843855265095e-9,-8.083501942479643e-6,2.317979019708889,2.242089326552907,1.5224910573493984,1.4973607870359458,0.1711190966666533,0.16494705497319026,1.2062418504826253,1.192542854409374
5,8.317999999999984,5,100,7,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,6.280175268713606e-10,-8.083501942479643e-6,2.317979021479516,2.242089326552907,1.5224910579308886,1.4973607870359458,0.17111908988099842,0.16494705497319026,1.2062419309534578,1.192542854409374
6,9.311999999999983,5,200,7,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,1.3918843855265095e-9,-8.083501942479643e-6,2.317979019708889,2.242089326552907,1.5224910573493984,1.4973607870359458,0.1711190966666533,0.16494705497319026,1.2062418504826253,1.192542854409374
7,8.295000000000016,5,100,10,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,6.280175268713606e-10,-8.083501942479643e-6,2.317979021479516,2.242089326552907,1.5224910579308886,1.4973607870359458,0.17111908988099842,0.16494705497319026,1.2062419309534578,1.192542854409374
8,9.280000000000001,5,200,10,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,1.3918843855265095e-9,-8.083501942479643e-6,2.317979019708889,2.242089326552907,1.5224910573493984,1.4973607870359458,0.1711190966666533,0.16494705497319026,1.2062418504826253,1.192542854409374
9,7.275000000000006,5,100,15,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,6.280175268713606e-10,-8.083501942479643e-6,2.317979021479516,2.242089326552907,1.5224910579308886,1.4973607870359458,0.17111908988099842,0.16494705497319026,1.2062419309534578,1.192542854409374
10,9.275999999999982,5,200,15,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,1.3918843855265095e-9,-8.083501942479643e-6,2.317979019708889,2.242089326552907,1.5224910573493984,1.4973607870359458,0.1711190966666533,0.16494705497319026,1.2062418504826253,1.192542854409374
