mod_num,time_to_create,nfolds,activation,total_nodes,num_layers,adaptive_rate,rate,rate_decay,momentum_start,momentum_stable,input_dropout_ratio,initial_weight_distribution,initial_weight_scale,loss,distribution,stopping_metric,stopping_tolerance,categorical_encoding,seed,mini_batch_size,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,11.705000000000005,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.3497924216513124,-0.3407733157271622,1663425212.336275,1793711588.2413383,40785.11017928326,42352.23238793131,NaN,NaN,25694.124085748663,25752.82435719222
2,17.775999999999996,5,Tanh,200,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.15650262057812836,-0.15478259638994363,1425223305.7058825,1544889729.4921749,37752.12981681805,39305.085287939204,NaN,NaN,23167.01260345683,23298.628522961848
3,24.716000000000008,5,Tanh,400,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.4621253189135708,-0.4361746325209055,1801859367.4578626,1921341252.0026674,42448.31407085401,43833.10680299387,NaN,NaN,27883.919841220155,28177.35285806036
4,18.708,5,Tanh,300,3,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.09329806694045906,-0.10045518775717377,1347332775.0072896,1472209507.354198,36706.03186136155,38369.382420807844,NaN,NaN,21992.965321541633,22382.136547994025
5,8.426999999999992,5,Tanh,100,1,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.04438639954441381,-0.0442748058871687,1287056172.902462,1397050343.0047803,35875.56512310938,37377.13663464311,NaN,NaN,22138.31893252261,22177.886800824253
6,17.542,5,Tanh,200,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.01690395762466812,0.008215847693080924,1211524614.3066447,1326827366.0877674,34806.96215280277,36425.64160159389,NaN,NaN,18382.13295050179,18489.520355748045
7,31.662999999999982,5,Tanh,400,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-8.750151566061515e-4,-0.02024210960337136,1233434643.6559217,1364898952.9709232,35120.288205763936,36944.538878850864,NaN,NaN,20227.354162850657,20378.458643072274
8,20.637,5,Tanh,300,3,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.017266136059313486,0.006920176154176616,1211078281.4262033,1328560739.6764464,34800.55001614491,36449.42715155406,1.75890566179188,NaN,18417.808247325418,18490.660627790057
9,9.43100000000004,5,Tanh,100,1,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.05241955415220323,-0.06453878798107704,1296955881.6983113,1424159876.793529,36013.27368760457,37738.04283204852,NaN,NaN,20602.98822477585,20951.259001970324
10,16.536999999999978,5,Tanh,200,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.45227976735523456,-0.517779438292868,1789726139.8379762,2030513685.591836,42305.15500311961,45061.221527959446,NaN,NaN,28517.324406324635,30237.636031307582
