mod_num,time_to_create,nfolds,distribution,model_id,ntrees,max_depth,learn_rate,min_split_improvement,sample_rate,nbins,categorical_encoding,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,10.436,5,gaussian,temp_forest_mod,300,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.010991383464401316,0.009337687653630189,1231793280.5696535,1325326547.6318913,35096.912692851685,36405.034646761305,1.7945883248248877,1.7785777963132494,18615.476647408173,18583.90378361194
2,11.337000000000003,5,gaussian,temp_forest_mod,500,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.015737236015208045,0.013346963163844094,1225882402.560182,1319962863.9586205,35012.603481606195,36331.293177626096,1.7930564246200331,1.778116395350827,18618.957001803716,18596.283705546084
3,14.355999999999995,5,gaussian,temp_forest_mod,1000,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.022547002477430134,0.019204984927589153,1217400955.1489382,1312125893.0116706,34891.27333802735,36223.27833053865,1.790668067858641,1.7772890581104845,18653.3415460975,18645.87015117989
4,10.338999999999999,5,gaussian,temp_forest_mod,300,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.013710158358408608,0.011934042747261842,1228407093.0381932,1321853095.2861376,35048.63896128055,36357.29768954422,1.794116488715496,1.7782542147490568,18604.16279445965,18575.40370006044
5,13.373999999999995,5,gaussian,temp_forest_mod,500,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.019585594897037595,0.017006318520476738,1221089337.5326364,1315067310.0035322,34944.08873518719,36263.85679989833,1.7923372143570604,1.7775917879675127,18606.92436934436,18592.424111830984
6,17.430000000000007,5,gaussian,temp_forest_mod,1000,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.027806540546136627,0.023711214135857306,1210850290.6313457,1306097375.3977454,34797.274183926325,36139.96922242388,1.7890184278870622,1.7760957490898206,18645.154265399844,18653.60361652192
7,10.307000000000016,5,gaussian,temp_forest_mod,300,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.016367394797110357,0.012348762798094826,1225097550.5980644,1321298275.0549102,35001.39355222967,36349.66678052097,1.7934081824394155,1.777716003204505,18583.312057525076,18565.826037020935
8,13.42900000000003,5,gaussian,temp_forest_mod,500,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.023831997107813252,0.017639154798265166,1215800516.3612373,1314220689.80934,34868.33113817232,36252.181862742276,1.791136819296591,1.7766850166033743,18570.89313569828,18572.981237778607
9,21.545000000000016,5,gaussian,temp_forest_mod,1000,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.035148267605451755,0.024471517249237018,1201706295.4140754,1305080227.6897411,34665.63565570485,36125.89414380966,1.7867530255956448,1.7746078780375332,18592.3780026069,18631.054635765027
10,12.331999999999994,5,gaussian,temp_forest_mod,300,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.023723428677492775,0.012272897098812519,1215935736.4803696,1321399769.6046276,34870.270094743595,36351.06284009627,1.7911252515064946,1.777216013687031,18535.663694662882,18562.248553982896
11,17.439999999999998,5,gaussian,temp_forest_mod,500,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.03537399719818257,0.0173043538942097,1201425153.07527,1314668592.7130702,34661.58036032503,36258.35893574156,1.787511766158222,1.7759719430311185,18493.1939570953,18568.042888159725
12,29.649999999999977,5,gaussian,temp_forest_mod,1000,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.056146363460008564,0.023402298395281407,1175553526.928595,1306510648.6462219,34286.346071411506,36145.68644591249,1.7800703201812804,1.7740078968419069,18447.12898599378,18633.636074491194
13,15.353999999999928,5,gaussian,temp_forest_mod,300,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.03353580835389802,0.012339813336630145,1203714585.774794,1321310247.811639,34694.590151416895,36349.83146882031,1.7871855590957852,1.777034055365995,18456.01269574593,18559.088610594135
