mod_num,time_to_create,nfolds,distribution,model_id,ntrees,max_depth,learn_rate,min_split_improvement,sample_rate,nbins,categorical_encoding,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,11.752000000000002,5,gaussian,temp_forest_mod,300,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0013721195230045335,3.148381801446609e-4,2.3147984786639633,2.2413653131487505,1.5214461800089951,1.4971190043375813,0.17104195818787887,0.16495492962807662,1.2063806673098618,1.193424293368621
2,11.348000000000013,5,gaussian,temp_forest_mod,500,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0019399966387134704,3.2926441806324647e-4,2.313482151422145,2.241332968496149,1.5210135276920271,1.497108202000159,0.17101130920020305,0.1649690995880841,1.2065386223503336,1.1939780940571232
3,15.355000000000004,5,gaussian,temp_forest_mod,1000,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.002837240626867521,3.8955926582850964e-4,2.3114023586791492,2.2411977831542993,1.520329687495166,1.4970630524978896,0.17095193318036433,0.16497918029027622,1.2066667325001044,1.1945921500974626
4,10.302999999999997,5,gaussian,temp_forest_mod,300,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.002288995030595542,5.517044871394816e-4,2.3126731804707243,2.240834242022932,1.5207475728965423,1.4969416294641993,0.17097479166481086,0.1649357687900069,1.2060141283742007,1.1932969361546188
5,12.37700000000001,5,gaussian,temp_forest_mod,500,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0033452863272713795,6.77643821782703e-4,2.3102247194029206,2.240551877067433,1.519942340815243,1.4968473125430772,0.17090815959401393,0.16494141898978176,1.206010753349374,1.193815931248119
6,18.454000000000008,5,gaussian,temp_forest_mod,1000,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.005236562871562822,8.014060045952176e-4,2.3058407800466836,2.2402743934413576,1.5184995159850014,1.4967546203173576,0.1707833987733266,0.16495586903929454,1.2058906247883892,1.1945933429966658
7,11.313000000000045,5,gaussian,temp_forest_mod,300,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.00335753555878493,7.615214237529644e-4,2.310196325941225,2.2403638175114984,1.5199330004777267,1.4967844926747131,0.17089637454410964,0.1649221191551407,1.2054056008849448,1.1931358865994623
8,13.314999999999998,5,gaussian,temp_forest_mod,500,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.005069218605504799,9.92902927513195e-4,2.3062286805450145,2.2398450437050648,1.518627235546964,1.4966111865494875,0.17078135737439995,0.16491942267221138,1.2049877763777648,1.1935688113870226
9,22.47399999999999,5,gaussian,temp_forest_mod,1000,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.008298075164374086,0.001135127032630412,2.2987442587734885,2.2395261671346423,1.5161610266635561,1.4965046498874108,0.1705601945592485,0.16493554052161993,1.2040858262245975,1.194352914682451
10,13.319999999999993,5,gaussian,temp_forest_mod,300,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.007143440851988148,0.0010770320035486947,2.3014206768887604,2.2396564203263702,1.517043399803961,1.4965481683949802,0.17061110976761004,0.16490225487199855,1.2030083166017427,1.1927730959857128
11,17.44999999999999,5,gaussian,temp_forest_mod,500,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.011185895336325524,0.0014337651325411205,2.292050352192896,2.238856599250784,1.513951898903296,1.4962809225712876,0.1703189777339371,0.16489117033338108,1.2011224949271335,1.1930558575040928
12,30.609000000000037,5,gaussian,temp_forest_mod,1000,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.019660431178288085,0.001641209274752753,2.272406555882114,2.2383914947133485,1.5074503493920168,1.496125494306326,0.16969599913290526,0.1649034119880982,1.1969031759959208,1.1937643931845876
13,15.389999999999986,5,gaussian,temp_forest_mod,300,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.014267533007466415,0.001411594835338592,2.2849071807149044,2.2389063066356982,1.5115909435806052,1.4962975327907542,0.17006759782323408,0.1648765691801247,1.1985617149382026,1.192484474926231
14,24.476,5,gaussian,temp_forest_mod,500,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.022807528399748755,0.0018677853768052088,2.2651116505396303,2.2378834949597017,1.5050287872793764,1.4959557129005197,0.1694258436576153,0.16485679588482066,1.193860632091858,1.1926377000293151
15,42.88000000000011,5,gaussian,temp_forest_mod,1000,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.04124712028559874,0.0018326276926778906,2.222369063356743,2.2379623209908397,1.490761236200064,1.495982059047113,0.16802419723764184,0.16489031627445885,1.1832046484285264,1.1934645875414558
16,23.534999999999968,5,gaussian,temp_forest_mod,300,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.031898296685494376,0.001693182209120292,2.2440394403509067,2.23827496769388,1.4980118291758937,1.4960865508699288,0.16872996842039276,0.16485302539896882,1.1874007912846603,1.1922120280413746
17,35.76999999999998,5,gaussian,temp_forest_mod,500,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.051087658164234884,0.0019883463145634606,2.1995589029796645,2.2376131887529755,1.4830909961899386,1.4958653645141249,0.1672608136619838,0.16484378026525642,1.175805359347075,1.192442601537139
18,66.32400000000007,5,gaussian,temp_forest_mod,1000,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.09301555083360069,0.001394412908124587,2.102370927296194,2.238944829739913,1.4499554914879953,1.4963104055442216,0.1639824773200715,0.16491361596455556,1.1494659888289551,1.1934181504106
19,10.330000000000155,5,gaussian,temp_forest_mod,300,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,1.7512037281530723e-4,4.889295850352138e-5,2.317573097584573,2.2419615812717053,1.522357742971268,1.4973181296143132,0.17110903984585807,0.1649465675813217,1.2062482607624327,1.1926365345371746
20,12.307999999999993,5,gaussian,temp_forest_mod,500,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,2.8767854825684225e-4,8.393966959463484e-5,2.31731219009504,2.2418830040500164,1.5222720486480201,1.4972918900635295,0.17110259819880588,0.16494637263010908,1.206254302941261,1.1926991945566956
21,15.33900000000017,5,gaussian,temp_forest_mod,1000,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,5.48447870938551e-4,1.5812706817219802e-4,2.3167077322752387,2.2417166706200575,1.5220734976587822,1.4972363442756984,0.17108781433171158,0.1649466700475692,1.2062717868703283,1.1928506310392177
22,10.298000000000002,5,gaussian,temp_forest_mod,300,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,2.796963016100662e-4,7.607576800039428e-5,2.317330692775323,2.241900635477322,1.5222781259596825,1.4972977778242116,0.171101341866848,0.16494436236814153,1.2062038487427122,1.1926201387407336
23,12.345999999999776,5,gaussian,temp_forest_mod,500,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,4.5813445558040566e-4,1.2740526497645455e-4,2.3169170768775285,2.2417855510902998,1.5221422656498074,1.4972593466364803,0.17109005968734947,0.16494285130352532,1.2061828166336475,1.1926738738218823
24,19.61200000000008,5,gaussian,temp_forest_mod,1000,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,8.858177185445681e-4,2.4115610028307977e-4,2.315925716045517,2.241530513618168,1.5218165842326457,1.4971741761125084,0.17106304676396888,0.16494007682065637,1.2061310379541481,1.1928008510730348
25,10.320000000000164,5,gaussian,temp_forest_mod,300,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,3.9160289524198255e-4,1.0075520565056006e-4,2.317071295638756,2.241845302420866,1.5221929232652331,1.4972793000709208,0.17109320068763229,0.16494280707020256,1.2061405197607724,1.192604279185972
26,16.516999999999825,5,gaussian,temp_forest_mod,500,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,6.458396476507478e-4,1.698341201386011e-4,2.3164819801798133,2.2416904225759744,1.521999336458401,1.497227578752133,0.17107637093070466,0.1649401509692467,1.2060763388121647,1.192646267424357
27,23.54600000000005,5,gaussian,temp_forest_mod,1000,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.001255728344643603,3.200749411297332e-4,2.3150682709738586,2.24135357195775,1.5215348405389404,1.497115083070687,0.17103603822589405,0.16493497298137946,1.2059200564242225,1.1927472922303308
28,13.364000000000033,5,gaussian,temp_forest_mod,300,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,7.840731534199952e-4,1.4693231440365828e-4,2.3161615578131736,2.241741770055104,1.5218940691826004,1.4972447261737487,0.17106376260513056,0.16493971654529135,1.2058924306695331,1.192558644070452
29,18.44899999999984,5,gaussian,temp_forest_mod,500,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0013037199470020688,2.498776411523629e-4,2.3149570274463147,2.2415109593025413,1.5214982837474103,1.4971676456905356,0.1710270086226794,0.16493474903763983,1.2056601155099926,1.192569205084119
30,31.711000000000013,5,gaussian,temp_forest_mod,1000,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0025536311908834763,4.7506631721927484e-4,2.3120597594024668,2.2410060702567427,1.520545875467908,1.496999021461518,0.17093833277947112,0.1649246802041687,1.2051014768832637,1.1925973430844645
31,16.41300000000001,5,gaussian,temp_forest_mod,300,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.001531483578040116,1.9298501304132465e-4,2.314429076127381,2.2416385166256787,1.521324776675704,1.4972102446302185,0.1710071538888385,0.16493639452600134,1.2054292848978676,1.192522144086772
32,23.608000000000175,5,gaussian,temp_forest_mod,500,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0025687333012612834,3.1820317781106056e-4,2.312024753027409,2.2413577685843853,1.5205343643033553,1.4971164846411869,0.17093088651213695,0.16492973064948366,1.204877075707543,1.1925103130279453
