mod_num,time_to_create,nfolds,ntrees,max_depth,mtries,min_split_improvement,sample_rate,categorical_encoding,histogram_type,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,10.491000000000007,5,100,3,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02186176921871308,0.01816051819191211,1218254401.4279678,1313523200.1219337,34903.501277493175,36242.56061762101,1.7895552799094783,1.7770017262873543,18658.79856469644,18669.850606303677
2,10.329999999999998,5,200,3,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.022641046444629276,0.018539466268866378,1217283824.9996784,1313016236.3056035,34889.594795578785,36235.56590293028,1.7892374495237664,1.7769039474458534,18664.48028438417,18679.577306409195
3,8.329000000000008,5,100,5,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.021943676624252784,0.01811540958825375,1218152387.1582377,1313583547.254564,34902.03987101954,36243.393153160534,1.789437687137106,1.7768798513623636,18656.495715496047,18668.301747937294
4,10.340999999999994,5,200,5,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02268199535164228,0.018962539740824624,1217232823.8378463,1312450240.7115479,34888.86389434093,36227.75511554018,1.7891786906049167,1.7768165324331493,18663.876188488033,18678.628107551656
5,8.301999999999992,5,100,7,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.021734976557950425,0.018589001689330753,1218412319.5137577,1312949966.8947544,34905.76341399451,36234.65146644513,1.7895363410152498,1.7768219806970142,18656.863752618476,18668.707538203966
6,10.359999999999985,5,200,7,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.022605192025678233,0.01917726747155557,1217328481.0639474,1312162973.9421313,34890.234752204626,36223.79016533377,1.7892461097163859,1.7767107118704875,18664.22660178542,18677.318650881698
7,8.546999999999997,5,100,10,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.021684347943710214,0.018603575482467605,1218475376.585034,1312930469.8020487,34906.66664958191,36234.38242611634,1.7894652791266066,1.7769219735033468,18656.838373802388,18671.702937866754
8,10.375000000000028,5,200,10,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02285923776215837,0.019102111352370832,1217012071.4534328,1312263519.2023387,34885.700099803544,36225.177973370104,1.7891903875637318,1.7767944370483986,18662.74695166431,18679.73175584914
9,8.289000000000044,5,100,15,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02139583469608719,0.018673097070880496,1218834714.8899136,1312837462.5223644,34911.813400193256,36233.098991424464,1.7896859081378285,1.7770312771192676,18662.780409546667,18672.727365184248
10,10.463000000000022,5,200,15,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.022688974597058875,0.01919794419815901,1217224131.3073022,1312135312.2310274,34888.73931954696,36223.40834641361,1.7894223977094081,1.7769211342066553,18667.147538721118,18683.331377284125
11,9.446000000000026,5,100,20,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02135284080171629,0.01866298507671249,1218888263.0484495,1312850990.5370605,34912.58029777303,36233.28567128657,1.7898297830828929,1.777054765943375,18665.14653484823,18673.228937676773
12,10.886000000000024,5,200,20,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02270546899493653,0.0192731644939782,1217203587.8174548,1312034681.1141195,34888.4449039715,36222.01928543078,1.7894817081026362,1.7770099758114926,18667.910570210654,18684.709543058198
13,9.340000000000032,5,100,30,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02134728886426973,0.018655738534345323,1218895177.8913805,1312860685.0968091,34912.679328452876,36233.419450788926,1.789815712159064,1.7770668585120195,18665.022481221647,18673.312088239738
14,11.316000000000031,5,200,30,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02269058931998036,0.01924711006800428,1217222120.1975794,1312069537.2119,34888.71049777534,36222.50042738491,1.7894689212342703,1.7770378102948838,18667.88683946614,18685.21398569656
15,9.291000000000054,5,100,3,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0331758884977682,0.029136418767516603,1204162859.7866802,1298839435.2953873,34701.04983695278,36039.41502432284,1.7846964627150692,1.776665662461676,18713.69039349251,18800.436282071492
16,10.32400000000007,5,200,3,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.03267892611516943,0.02821842617655035,1204781817.9164135,1300067542.9322422,34709.96712640929,36056.449394418225,1.7841520519252196,1.775868341012051,18703.78231034053,18783.8922628979
17,10.278999999999996,5,100,5,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.031655391393705656,0.0323685968341515,1206056612.8689036,1294515367.0987897,34728.325799970604,35979.37418992706,1.78317010490101,1.77558636296489,18772.91427058317,18854.90703958677
18,13.247000000000071,5,200,5,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.03398660757323957,0.03100646203173274,1203153123.0736742,1296337656.4829726,34686.49770550025,36004.689367955565,1.782581111976986,1.774944120905865,18753.170804871086,18848.281359616645
19,10.283000000000015,5,100,7,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.027891787605401785,0.0318819874903431,1210744116.8801413,1295166362.1690953,34795.748546052884,35988.419834289685,1.7821888431376292,1.7759855760859113,18829.16586908604,18951.470327265004
20,13.307999999999993,5,200,7,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.031109761123987112,0.03100134520736586,1206736186.017891,1296344501.866196,34738.10855556029,36004.78443021421,1.7822974703499659,1.7752441106568826,18801.900361570526,18931.225870270388
21,14.785000000000082,5,100,10,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.01657946382824349,0.02506549479874065,1224833422.2545907,1304285593.428153,34997.62023701884,36114.89434330596,1.7857132416992245,1.7800909208959335,19025.3171046737,19122.061822960106
22,18.41199999999992,5,200,10,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.022800952278730913,0.02602859998936713,1217084665.0240452,1302997133.3127418,34886.74053310291,36097.05158752917,1.7864581434588314,1.7793994991567477,18987.73653658437,19094.858399013152
23,25.456999999999994,5,100,15,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.01028147414690661,0.010411060392171323,1258288260.1138291,1323890569.531015,35472.35909992214,36385.30705560989,1.8019639267932415,1.796509357712234,19582.284663674214,19607.5491888064
24,45.684999999999945,5,200,15,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0028624708352530392,0.015133498882095808,1241917701.9220152,1317572803.1011689,35240.852741130075,36298.385681751315,1.802748258926494,1.7961242897306748,19496.505680347826,19534.105528355147
25,46.753999999999905,5,100,20,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.02696366301185016,-4.75328186011037e-4,1279065640.41716,1338454583.5352714,35764.02718398978,36584.89556545531,1.8132249434794672,1.8087073420922268,19977.08430351868,19939.756908306408
26,89.93000000000006,5,200,20,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.009309908321794458,0.006238246263711389,1257078191.531013,1329473038.2227762,35455.29849727701,36461.93958393843,1.8143402381498097,1.8084003651115366,19849.3844035792,19838.305064305987
27,69.41200000000003,5,100,30,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.030735185856834768,-0.0030634705789276406,1283763007.4777634,1341917048.7765903,35829.63867355856,36632.18596776052,1.817918960726351,1.8147263053602982,20116.072888425828,20068.343937675203
28,136.27499999999986,5,200,30,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.011694161592171959,0.0036301778976984833,1260047738.1138475,1332962160.8031325,35497.151126729135,36509.754324058835,1.8194262380762307,1.8143596584354451,19974.48158517074,19969.105354469164
29,9.29099999999994,5,100,3,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.033176104972910236,0.02913595468350738,1204162590.1706011,1298840056.1556442,34701.04595211218,36039.42363795021,1.7846967034492585,1.7766660398204557,18713.704296853382,18800.469088859707
30,10.329999999999927,5,200,3,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.03270796249325125,0.02823163301908682,1204745653.605188,1300049874.571585,34709.446172550604,36056.20438387248,1.7840721295455932,1.7758015732987062,18702.198376780667,18782.729715066034
31,9.279999999999973,5,100,5,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.03197932190589159,0.032720919791183745,1205653162.9680526,1294044022.8652647,34722.51665660271,35972.82339301802,1.7831305865759568,1.7756501860943805,18771.83484539846,18856.957318125395
32,11.293999999999869,5,200,5,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.03422701950067175,0.03128781086362009,1202853694.1386492,1295961262.7599063,34682.181219448255,35999.4619787561,1.7824710503483643,1.7749169499978878,18752.184131777867,18848.587328815083
33,11.576000000000022,5,100,7,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.028060807311672487,0.032313478746506474,1210533605.7329307,1294589105.1060805,34792.72345955302,35980.398901430766,1.781942291534156,1.7759467617620481,18821.86959246996,18952.4191783906
34,14.21600000000035,5,200,7,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.031131233707047734,0.031163662924729718,1206709442.2837229,1296127350.1917129,34737.72361977283,36001.76870921362,1.7820836045905897,1.7751919104060738,18798.724026969114,18932.440835212317
35,12.309999999999945,5,100,10,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.016422740268721703,0.02614035404641213,1225028618.761778,1302847626.6475933,35000.40883706615,36094.980629550046,1.785820899981857,1.7803034280576147,19027.061995961292,19122.770845680683
36,20.9970000000003,5,200,10,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02267361333790119,0.026544245892956342,1217243263.4922955,1302307292.5903409,34889.01350700956,36087.4949614176,1.7863188716540233,1.7794077697263344,18984.81964933797,19095.743210827768
37,25.47499999999991,5,100,15,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.010848498423761122,0.011517694759104358,1258994479.1320171,1322410093.4023285,35482.312201039225,36364.95694212119,1.8022579145440147,1.796469418620676,19582.19943106374,19607.063937641662
38,46.81100000000015,5,200,15,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0020353629668250495,0.015116233049202399,1242947850.5957494,1317595901.65495,35255.465542178696,36298.703856404434,1.8027680673245368,1.796190913346528,19493.590736158134,19534.866139307673
39,47.82999999999993,5,100,20,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.026580278278389047,8.842781161255697e-4,1278588141.3027391,1336635676.826,35757.35087087324,36560.02840297037,1.8133968892634533,1.8090096089133638,19963.39124470742,19942.696521594247
40,91.42000000000007,5,200,20,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.009623865828975564,0.006243625816298337,1257469220.225065,1329465841.356832,35460.812458615,36461.840893690925,1.8141303991453097,1.808422569662474,19837.066597712324,19844.943437483988
41,69.03600000000006,5,100,30,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.030166635091898986,-0.001579691820403406,1283054887.2448337,1339932021.8355463,35819.755544180276,36605.08191270095,1.8180829210871128,1.8150009163516307,20099.83452010308,20073.360739691136
42,139.64800000000014,5,200,30,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.012222960160390484,0.0033885435515413898,1260706347.667107,1333285423.7452981,35506.42685017893,36514.181132065634,1.8194705379805103,1.814549043846653,19971.999950586553,19979.57725282781
43,8.293999999999869,5,100,3,7,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.016190592287023353,0.013151221323368434,1225317755.0940332,1320224731.0493855,35004.53906415614,36334.896876823324,1.7923845641595004,1.7779178373348692,18608.997908066904,18599.5576637197
44,9.280999999999949,5,200,3,7,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.01710975871754228,0.014079401051375617,1224172949.0590723,1318982994.8702953,34988.18299167695,36317.805479823466,1.7919801784247704,1.777665307025075,18613.8640684196,18605.821371055205
45,8.251000000000204,5,100,5,7,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.016161201943130865,0.013375063806932541,1225354360.2636092,1319925270.3933597,35005.06192343629,36330.77580225008,1.7924125126012547,1.7779209851505133,18609.625575655275,18600.342304580805
46,10.31899999999996,5,200,5,7,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.017118834920568204,0.014182479572139584,1224161644.803767,1318845094.4996479,34988.021447400635,36315.90690729956,1.7920505641640518,1.7777061570808663,18614.575035298152,18607.472171163256
47,8.240999999999985,5,100,7,7,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.016050459352438318,0.013845755995793407,1225492288.2622204,1319295569.590285,35007.03198304907,36322.10855099529,1.7924735192139691,1.7779724288965957,18611.552673738883,18602.17718479034
48,10.302999999999884,5,200,7,7,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.01710086573804459,0.014356435230525988,1224184025.1126134,1318612373.370261,34988.341274096056,36312.70264480821,1.7920471531936928,1.7776973041255695,18615.585611799223,18607.34595870029
49,8.22900000000027,5,100,10,7,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0160445117763931,0.01422256394674315,1225499695.866245,1318791468.8745027,35007.13778454681,36315.16857835721,1.7924347989697758,1.7779135791556502,18611.992095372352,18600.937803193683
50,9.295000000000073,5,200,10,7,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.017219895556708775,0.01458772938282804,1224035775.5136044,1318302943.7325957,34986.22265283299,36308.44176954714,1.7919807234408656,1.7776568538617856,18615.1575208408,18605.995820784705
51,8.280999999999949,5,100,15,7,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.016003296240864384,0.014428167893600685,1225551029.1093235,1318516408.0735898,35007.87095939031,36311.38124711851,1.7924495942829788,1.7778867441185833,18612.213556543724,18600.178321280673
52,10.28899999999976,5,200,15,7,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.017226284874169884,0.014651562922593175,1224027817.7282176,1318217546.0306485,34986.10892523228,36307.26574710148,1.7919638130818203,1.7776408887765163,18614.467498759732,18605.048498601325
