mod_num,time_to_create,nfolds,distribution,model_id,ntrees,max_depth,learn_rate,min_split_improvement,sample_rate,nbins,categorical_encoding,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,logloss
1,1599.849,5,multinomial,temp_forest_mod,300,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5755465748424393,-73.86688465474072,0.530566781446951,0.5361734835376711,0.7284001520091488,0.7322386793509826,1.322546037185223
2,2629.321,5,multinomial,temp_forest_mod,500,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5892386393645886,-71.93802529331124,0.5134517007942643,0.5223595890789761,0.7165554415355899,0.7227444839491866,1.2914967861385607
3,5262.995999999999,5,multinomial,temp_forest_mod,1000,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.614754233357101,-68.10734681368821,0.48155720830362375,0.4949254540244168,0.6939432313263267,0.7035093844608022,1.233323870227715
4,2435.224,5,multinomial,temp_forest_mod,300,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5862764149111834,-71.6616267422138,0.5171544813610207,0.5203801081019044,0.7191345363428325,0.7213737644951501,1.2841703149658665
5,4042.3469999999998,5,multinomial,temp_forest_mod,500,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6058391240094883,-68.68685218497971,0.49270109498813974,0.49907569234523197,0.701926702005373,0.7064528946399979,1.2381334597611944
6,8050.080999999998,5,multinomial,temp_forest_mod,1000,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6422450148074198,-63.55838284978714,0.44719373149072533,0.4623471803823369,0.668725453000501,0.6799611609366648,1.1658899774092941
7,3315.583999999999,5,multinomial,temp_forest_mod,300,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5969457679270498,-70.49968735766514,0.5038177900911879,0.5120586574318767,0.7098012328047817,0.7155827397526275,1.2649871645241046
8,5503.926000000003,5,multinomial,temp_forest_mod,500,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6213874857378722,-67.05416819217598,0.47326564282765987,0.4873829143169379,0.687943052023683,0.6981281503541724,1.2129165637521429
9,13089.76,5,multinomial,temp_forest_mod,1000,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6689575505962991,-61.16809024533723,0.41380306175462617,0.44522864368466913,0.6432752612642788,0.667254556885653,1.130562933900464
10,11329.991,5,multinomial,temp_forest_mod,300,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6214335788670277,-69.21539919683538,0.4732080264162155,0.5028609826490423,0.6879011748908527,0.7091269157555947,1.2432214768507466
11,4915.525,5,multinomial,temp_forest_mod,500,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6585585354046086,-65.15618205197555,0.4267075794012268,0.47379012432453316,0.6532285812801112,0.6883241419015703,1.1836954469134946
12,15131.16,5,multinomial,temp_forest_mod,1000,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.7201838153706712,-58.81106224368761,0.3497387974838071,0.42834833778883286,0.5913871806894423,0.654483260128808,1.0962886227545594
13,6569.196000000002,5,multinomial,temp_forest_mod,300,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6423897341634044,-67.6814052703575,0.4469410369873182,0.4918749923667127,0.668536488897441,0.7013380015133307,1.2189779764007163
14,10370.006999999998,5,multinomial,temp_forest_mod,500,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6871887304172635,-62.768622057157444,0.3910764258481703,0.456691157732289,0.6253610364007102,0.6757892850084921,1.1532142679528445
15,21019.958,5,multinomial,temp_forest_mod,1000,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.7574545462998544,-55.420169770502966,0.30310491762630293,0.4040638141568755,0.5505496504642455,0.6356601404499699,1.0445607675228115
16,9179.423999999999,5,multinomial,temp_forest_mod,300,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6590829123419857,-66.61714278436739,0.42595146084698726,0.4842530734483108,0.6526495697133242,0.6958829452201791,1.1962556130466941
17,15189.786,5,multinomial,temp_forest_mod,500,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.7126616176855387,-61.265190191340814,0.3591995620293065,0.4459240434804554,0.599332597168973,0.6677754439034542,1.099533753864571
18,30546.86,5,multinomial,temp_forest_mod,1000,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.7914536195530033,-53.87852298466421,0.26070712153302433,0.39302301646160925,0.5105948702572563,0.6269154779247432,0.9939876331398187
19,1241.7580000000016,5,multinomial,temp_forest_mod,300,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5527406995945592,-77.10815771423718,0.5588731291152726,0.5593864791821611,0.7475781759222728,0.747921439178047,1.3781213506611782
20,2025.8760000000038,5,multinomial,temp_forest_mod,500,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5548448004939741,-76.82812651367112,0.5565054263781399,0.5573809822925929,0.7459929130884153,0.7465795217474109,1.3729640495886817
21,4041.669000000009,5,multinomial,temp_forest_mod,1000,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5594393174649885,-76.17092115756789,0.5507951141249425,0.55267428070074065,0.7421557209406544,0.7434206620082204,1.3611734068165484
22,1956.7850000000035,5,multinomial,temp_forest_mod,300,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5541629765917272,-76.85862900270311,0.557380213726957,0.5575994316894961,0.7465790070226707,0.746725807568947,1.3734072491693692
23,3323.718000000008,5,multinomial,temp_forest_mod,500,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5567677715030968,-76.4167473662873,0.5540262496750332,0.5544348120128393,0.7443293959498263,0.7446037953252986,1.3652575908397804
