mod_num,time_to_create,nfolds,ntrees,max_depth,mtries,min_split_improvement,sample_rate,categorical_encoding,histogram_type,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,logloss
1,13317.155,5,100,20,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.9422427790979737,-16.411358892028836,0.07219652612753293,0.12469476983469707,0.2686941125658188,0.3531214661199416,0.42412313236203464
2,7636.796,5,100,15,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.8962123348954886,-31.2554067785846,0.12973458138063926,0.23100325190709262,0.36018687008362654,0.4806279766171468,0.6574007518208101
3,4348.308000000001,5,100,10,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.8377709178720595,-43.87646089327198,0.2027863526599257,0.3213913398019839,0.4503180572216994,0.5669138733546604,0.856139848127271
4,3007.464,5,100,7,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.7962598576450396,-49.57764281150622,0.2546751779437006,0.36222144223617236,0.5046535226704562,0.6018483548504328,0.9512991750566687
5,2261.909,5,100,5,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.7491801976923198,-53.783243829703444,0.3135247528846003,0.39234065660839207,0.5599328110448613,0.6263710215266923,1.0222494060827052
6,6390.549,5,100,20,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.824851379692005,-36.66864929134179,0.21893577538499384,0.269771221332884,0.46790573343889885,0.5193950532426007,0.7440732310488357
7,4717.569,5,100,15,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.8175246695024811,-39.769094514922045,0.22809416312189865,0.29197565155207966,0.4775920467531873,0.5403477135623687,0.793058194077936
8,3386.790000000001,5,100,10,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.7964599729529247,-44.504437748946984,0.25442503380884424,0.32588871590947205,0.5044056242835168,0.5708666358349138,0.8676115711712694
9,2479.155,5,100,7,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.7688638603045581,-48.51019678056937,0.28892017461930247,0.3545767237530235,0.5375129529781608,0.5954634529112794,0.9317223526729472
10,2143.3540000000003,5,100,5,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.7295532951944936,-52.994372517700214,0.338058381006883,0.38669100414361673,0.5814278811743405,0.6218448392835763,1.0044228748774484
11,9107.614000000001,5,100,20,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.9354879470242482,-18.65014019921913,0.0806400662196898,0.1407282294596159,0.28397194618428384,0.37513761402932644,0.4653302048950492
12,5129.6900000000005,5,100,15,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.88264609736832,-34.05098438851712,0.14669237828960005,0.2510243145241615,0.3830044102743466,0.5010232674478916,0.7022403428578198
13,3173.0239999999994,5,100,10,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.8174866348768992,-46.70803571466081,0.22814170640387604,0.3416702033193197,0.47764181810628353,0.584525622466047,0.8959707229835594
14,2140.875,5,100,7,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.7623777221786797,-52.99434498839744,0.2970278472766504,0.38669080698726066,0.5450026121741531,0.6218446807581943,0.9934132638975826
15,1500.596,5,100,5,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.7043837245117874,-58.4981495281261,0.3695203443602658,0.4261073536538636,0.6078818506587162,0.6527689895007756,1.0790208607179097
16,1606.796,5,100,20,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.7237921975622691,-51.776155634831184,0.3452597530471637,0.37796651142825266,0.5875880810969226,0.614789810771334,0.9587414988267816
17,1378.676,5,100,15,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.7245149612608757,-52.594516812774565,0.3443562984239055,0.3838273611963899,0.5868187952203862,0.619538022397649,0.9717372494044587
18,1074.5950000000003,5,100,10,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.7152116502618606,-54.8790536976398,0.35598543717267433,0.4001885081237307,0.5966451518052203,0.6326045432367133,1.0078527528753536
19,860.0739999999996,5,100,7,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.6889432336561624,-58.55860792986593,0.3888209579297971,0.4265403380370052,0.6235550961461201,0.6531005573700004,1.0674767772962492
20,756.279,5,100,5,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.6540980833871344,-62.6162647212768,0.4323773957660822,0.45560002159248075,0.6575541010183742,0.674981497222317,1.13385782879402
