mod_num,time_to_create,nfolds,activation,total_nodes,num_layers,adaptive_rate,rate,rate_decay,momentum_start,momentum_stable,input_dropout_ratio,initial_weight_distribution,initial_weight_scale,loss,distribution,stopping_metric,stopping_tolerance,categorical_encoding,seed,mini_batch_size,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,logloss
1,2006.994,5,Tanh,100,1,FALSE,0.1,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8106080605009368,-44.39102710220401,0.23639489639035544,0.32507650391728266,0.4862045828561835,0.5701548069755114,0.9999344181618809
2,3365.444,5,Tanh,200,2,FALSE,0.1,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.7013464601639956,-72.78928142265012,0.37277284763480856,0.5284560223198578,0.6105512653617291,0.7269498072906119,1.3848087074315665
3,8250.248,5,Tanh,400,2,FALSE,0.1,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8655939823400736,-46.55043943045074,0.16776266562873307,0.3405415474511453,0.4095884100273506,0.5835593778281224,0.9594082848912415
4,4364.697000000002,5,Tanh,300,3,FALSE,0.1,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.6755270273562987,-90.52245906937341,0.4050001016540507,0.6554555585885801,0.6363961829348529,0.8096020989279734,2.449715850612657
5,967.447,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.6572444470304095,-1.415120949626437,0.42782002046008993,0.017296349630383852,0.6540795215110239,0.13151558702444305,0.10886147835965812
5,1047.032,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.7295148456025926,-92.91652351421011,0.33761368207130427,0.6726011080410708,0.5810453356419827,0.8201226176865694,1.8629446248226316
5,1342.7710000000002,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.6881069030361384,-1.6826924470581477,0.38929817465649763,0.019212613977898238,0.6239376368327989,0.13860957390417963,0.10373082388881517
5,1084.0249999999999,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8431965518145227,-36.39187229986517,0.1957186508860887,0.26778903008280774,0.44240100687734507,0.5174833621313905,0.7501465595743153
6,1675.182,5,Tanh,200,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8093548889593222,-15.19638862081829,0.2379590778308269,0.11599352834837301,0.4878104937686631,0.34057822647429037,0.38654674079105616
7,4462.947,5,Tanh,400,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.7906033962221551,-119.44824180649282,0.2613642829018117,0.8626130724311581,0.5112379904719637,0.928769655205831,3.0057670050667005
8,2804.295,5,Tanh,300,3,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.778744424166852,-36.93789970957237,0.2761663936871198,0.27169950959213807,0.5255153600867627,0.5212480307801057,0.8075656755730014
9,1134.6459999999997,5,Tanh,100,1,FALSE,0.005,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8234810666028207,-31.79299678826137,0.2203270903805738,0.23485330536574409,0.4693901259939048,0.4846166581595644,0.6849066530636895
10,2004.3809999999994,5,Tanh,200,2,FALSE,0.005,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8180061372713945,-62.6104325274604,0.22716077799933027,0.45555825322333293,0.47661386677197115,0.6749505561323236,1.25341778120177
11,4322.754999999999,5,Tanh,400,2,FALSE,0.005,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8445626555202222,-67.91253748371848,0.19401350997659966,0.4935302898265581,0.4404696470548222,0.7025171099884743,1.312048329094935
12,3710.8279999999995,5,Tanh,300,3,FALSE,0.005,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.793552085120967,-18.561080845170554,0.25768379360239535,0.14009041389774163,0.5076256431686597,0.3742865398297695,0.45542380178896896
13,1087.713,5,Tanh,100,1,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.7885118125502583,-36.75964974600942,0.2639749521135933,0.27042293845731985,0.5137849278770187,0.5200220557412155,0.782405967936759
14,2070.35,5,Tanh,200,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8123130393787268,-44.63516379654298,0.23426677886735545,0.32682493544968527,0.4840111350654605,0.5716860462261478,0.9068898269249266
15,4614.826,5,Tanh,400,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.816948720724567,-73.40463853265196,0.22848062231630523,0.5328630197101047,0.47799646684500213,0.7299746705948809,1.4006042062469997
16,4467.9800000000005,5,Tanh,300,3,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8164271410108676,-58.82814920552273,0.22913164676172473,0.42847070932723014,0.47867697538290344,0.6545767405944318,1.1211921992056153
17,1522.8909999999996,5,Tanh,100,1,FALSE,5e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.797561382363195,-27.538323534436195,0.25267947605497765,0.204382650812155,0.5026723346823233,0.4520869947390159,0.6001867494410044
18,4353.474,5,Tanh,200,2,FALSE,5e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8125138864256548,-48.15035881659888,0.23401608595521545,0.3519996754954272,0.4837520914220583,0.5932956054914171,0.9533385350211049
19,8459.418,5,Tanh,400,2,FALSE,5e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8220228169419577,-48.66991352025666,0.2221472458655578,0.35572056566780774,0.4713249896468018,0.5964231431356497,0.965428691909109
20,10858.456,5,Tanh,300,3,FALSE,5e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,multinomial,logloss,0.001,EnumLimited,16,100,0.8118893796236277,-49.74189624539921,0.2347955817518727,0.3633977745523836,0.4845570985465724,0.6028248290775552,0.9790966314644626
