mod_num,time_to_create,nfolds,ntrees,max_depth,mtries,min_split_improvement,sample_rate,categorical_encoding,histogram_type,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,28.664,5,100,3,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-5.626366039734876e-10,-2.8716434000708446e-5,15675140.461339397,15240547.77780104,3959.184317676988,3903.9144173253903,NaN,1.0647254351534992,2472.5221779941385,2466.978840544163
2,30.604,5,200,3,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-7.028486681548429e-10,-2.8716434000708446e-5,15675140.463537242,15240547.77780104,3959.184317954551,3903.9144173253903,NaN,1.0647254351534992,2472.5233445423796,2466.978840544163
3,26.542,5,100,5,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-5.626366039734876e-10,-2.8716434000708446e-5,15675140.461339397,15240547.77780104,3959.184317676988,3903.9144173253903,NaN,1.0647254351534992,2472.5221779941385,2466.978840544163
4,29.587000000000018,5,200,5,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-7.028486681548429e-10,-2.8716434000708446e-5,15675140.463537242,15240547.77780104,3959.184317954551,3903.9144173253903,NaN,1.0647254351534992,2472.5233445423796,2466.978840544163
5,30.435000000000002,5,100,7,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-5.626366039734876e-10,-2.8716434000708446e-5,15675140.461339397,15240547.77780104,3959.184317676988,3903.9144173253903,NaN,1.0647254351534992,2472.5221779941385,2466.978840544163
6,28.807000000000016,5,200,7,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-7.028486681548429e-10,-2.8716434000708446e-5,15675140.463537242,15240547.77780104,3959.184317954551,3903.9144173253903,NaN,1.0647254351534992,2472.5233445423796,2466.978840544163
7,26.571000000000026,5,100,10,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-5.626366039734876e-10,-2.8716434000708446e-5,15675140.461339397,15240547.77780104,3959.184317676988,3903.9144173253903,NaN,1.0647254351534992,2472.5221779941385,2466.978840544163
8,28.648000000000025,5,200,10,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-7.028486681548429e-10,-2.8716434000708446e-5,15675140.463537242,15240547.77780104,3959.184317954551,3903.9144173253903,NaN,1.0647254351534992,2472.5233445423796,2466.978840544163
9,26.51400000000001,5,100,15,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-5.626366039734876e-10,-2.8716434000708446e-5,15675140.461339397,15240547.77780104,3959.184317676988,3903.9144173253903,NaN,1.0647254351534992,2472.5221779941385,2466.978840544163
10,28.47399999999999,5,200,15,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-7.028486681548429e-10,-2.8716434000708446e-5,15675140.463537242,15240547.77780104,3959.184317954551,3903.9144173253903,NaN,1.0647254351534992,2472.5233445423796,2466.978840544163
11,26.519000000000005,5,100,20,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-5.626366039734876e-10,-2.8716434000708446e-5,15675140.461339397,15240547.77780104,3959.184317676988,3903.9144173253903,NaN,1.0647254351534992,2472.5221779941385,2466.978840544163
12,28.831999999999994,5,200,20,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-7.028486681548429e-10,-2.8716434000708446e-5,15675140.463537242,15240547.77780104,3959.184317954551,3903.9144173253903,NaN,1.0647254351534992,2472.5233445423796,2466.978840544163
13,26.489000000000033,5,100,30,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-5.626366039734876e-10,-2.8716434000708446e-5,15675140.461339397,15240547.77780104,3959.184317676988,3903.9144173253903,NaN,1.0647254351534992,2472.5221779941385,2466.978840544163
14,28.57000000000005,5,200,30,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-7.028486681548429e-10,-2.8716434000708446e-5,15675140.463537242,15240547.77780104,3959.184317954551,3903.9144173253903,NaN,1.0647254351534992,2472.5233445423796,2466.978840544163
15,27.759000000000015,5,100,3,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0017539670979497268,0.0016548326007685965,15647646.77191053,15214890.30509149,3955.7106532089188,3900.626911804241,NaN,1.0636248340939216,2469.690668557491,2464.274332866203
16,30.554000000000087,5,200,3,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0017842059604213922,0.0016535645556120526,15647172.773494162,15214909.630239332,3955.650739574231,3900.629388988312,NaN,1.0635775376615926,2469.531347349135,2464.1506893051105
17,27.59400000000005,5,100,5,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0017705891685791952,0.0018469282265882736,15647386.2186188,15211962.746597318,3955.677719256057,3900.251626061749,NaN,1.0635470959079116,2469.633653377281,2464.0578463305037
18,30.545999999999935,5,200,5,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0018262849861847563,0.0017750658183197654,15646513.178855216,15213057.93761398,3955.567364974994,3900.3920235809605,NaN,1.0635461634365442,2469.435212812727,2464.0831065495354
