mod_num,time_to_create,nfolds,distribution,model_id,ntrees,max_depth,learn_rate,min_split_improvement,sample_rate,nbins,categorical_encoding,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,24.73400000000001,5,gaussian,temp_forest_mod,300,1,0.001,1e-4,0.632,56,Eigen,16,0.8,4.907523244864764e-4,1.4661825198958311e-4,15667447.840906264,15237875.657875855,3958.212707890553,3903.5721663465956,NaN,1.0648643241635738,2471.534262820066,2467.4440254233073
2,26.622,5,gaussian,temp_forest_mod,500,1,0.001,1e-4,0.632,56,Eigen,16,0.8,7.586896295693757e-4,3.340234503612649e-4,15663247.88601662,15235019.582012577,3957.6821355455795,3903.2063207077044,NaN,1.0648145416984178,2471.1431957212994,2467.4089419408883
3,41.815,5,gaussian,temp_forest_mod,1000,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0013234897363664233,7.241942574097715e-4,15654394.565014979,15229073.335941233,3956.5634792095752,3902.444533358704,NaN,1.06472343429555,2470.3370652579492,2467.4112325569527
4,28.57099999999997,5,gaussian,temp_forest_mod,300,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0012521302814025859,4.638153921753263e-4,15655513.134494152,15233041.53852454,3956.7048328747182,3902.9529254814925,NaN,1.0647549696671865,2470.8866147929425,2467.2967085778005
5,29.601,5,gaussian,temp_forest_mod,500,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.001827632744591412,7.741234179931e-4,15646492.052552896,15228312.410034936,3955.564694522502,3902.3470386467343,NaN,1.0646768725484237,2470.1248027364245,2467.2807180070336
6,50.95999999999998,5,gaussian,temp_forest_mod,1000,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0029565110542448814,0.00138367260764094,15628796.726495273,15219022.813251281,3953.327298174953,3901.1565994268008,NaN,1.0644720563638777,2468.6373447001406,2467.142072302193
7,24.563000000000045,5,gaussian,temp_forest_mod,300,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0017249919418163007,7.387335360320435e-4,15648100.961552555,15228851.755733728,3955.768062153361,3902.416143331427,NaN,1.0645868635409557,2470.2547328318215,2466.9363098861304
8,35.85299999999995,5,gaussian,temp_forest_mod,500,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.00261836093937462,0.0011230100492579664,15634097.2770399,15222995.339349417,3953.997632401909,3901.665713429255,NaN,1.064497661020377,2469.019942111975,2466.9114580758833
9,62.049999999999955,5,gaussian,temp_forest_mod,1000,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0042693390880848,0.0018620485632333539,15608217.962674828,15211732.31100155,3950.723726442388,3900.222084830754,NaN,1.0641920294933294,2466.7833801336637,2466.5691089651323
10,31.64300000000003,5,gaussian,temp_forest_mod,300,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0031420629217190355,0.0010277485804530695,15625888.17491139,15224447.134625738,3952.959419841214,3901.8517571309317,NaN,1.064372435531305,2468.5420779354845,2466.3917623042275
11,45.85399999999993,5,gaussian,temp_forest_mod,500,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.00484725251945517,0.0015328373496018566,15599159.088468699,15216749.526155362,3949.5770771651864,3900.8652278892387,NaN,1.0641856521300588,2466.2870085680693,2466.1250594086173
12,86.168,5,gaussian,temp_forest_mod,1000,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.008341009799398447,0.002307116960392208,15544393.952398574,15204949.419610715,3942.637943357033,3899.3524359322428,NaN,1.0638457605781535,2461.8916608037,2465.860795264254
13,38.801000000000045,5,gaussian,temp_forest_mod,300,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.006194570791091092,0.0012616958330023964,15578039.68532656,15220881.75273083,3946.9025431756686,3901.3948470682676,NaN,1.0642294717948484,2465.1587163176564,2465.9598012964943
14,57.07899999999995,5,gaussian,temp_forest_mod,500,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.009758483082317415,0.001820860489274767,15522174.859601125,15212360.021784976,3939.8191404683953,3900.3025551596606,NaN,1.0640078519264415,2460.878955478989,2465.629156877804
