mod_num,time_to_create,nfolds,distribution,model_id,ntrees,max_depth,learn_rate,min_split_improvement,sample_rate,nbins,categorical_encoding,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,22.546999999999997,5,gaussian,temp_forest_mod,300,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0011143104179555108,9.441178993188082e-4,0.9294893063456733,0.9174377765354307,0.9641002574139649,0.9578297220985735,0.11431718921470208,0.11297186263089189,0.765570097284332,0.7646252948153838
2,25.53099999999999,5,gaussian,temp_forest_mod,500,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.001669366529813976,0.001470055684906879,0.9289728120903495,0.9169548053610943,0.9638323568392739,0.9575775714588841,0.11428564068288073,0.11294254077580917,0.7653053652523589,0.7643482194604432
3,38.59299999999999,5,gaussian,temp_forest_mod,1000,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0027385443767807827,0.002479479543363472,0.9279779140898053,0.9160278466224729,0.9633161028913642,0.9570934367252096,0.11422535707970737,0.11288661355668812,0.764801416900144,0.7638252540347827
4,22.421999999999997,5,gaussian,temp_forest_mod,300,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.001896662676141525,0.0016366335900550588,0.9287613070707177,0.9168018360771362,0.9637226297388257,0.9574976950766703,0.11427380055810037,0.11293362095992872,0.7652031427860555,0.764291628066849
5,28.52199999999999,5,gaussian,temp_forest_mod,500,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0027983973878490387,0.002467804454673428,0.9279222192947745,0.916038567912043,0.9632871946074932,0.9570990376716733,0.11422260484119327,0.11288724458939288,0.7647756281596474,0.7638569303200855
6,45.72300000000001,5,gaussian,temp_forest_mod,1000,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.004319342131396731,0.0038072751162341323,0.926506940360043,0.914808525621623,0.9625523052593261,0.9564562329880144,0.11413616216473073,0.11281205735218877,0.7640520662804007,0.7631394905600479
7,23.422000000000025,5,gaussian,temp_forest_mod,300,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0025119902748031997,0.0019946912700287145,0.928188728617727,0.9164730300036503,0.9634255179398805,0.9573259789662298,0.11423971713005747,0.11291297226047417,0.7649380971165365,0.7641312477311782
8,32.589999999999975,5,gaussian,temp_forest_mod,500,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.003718360066792825,0.002943684395006585,0.9270661699177201,0.9156015650955048,0.9628427545127606,0.9568707149325372,0.11417153444041592,0.11285945606272922,0.7643767256474634,0.7636338860793425
9,60.17399999999998,5,gaussian,temp_forest_mod,1000,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.005866177426019137,0.004493054336607738,0.9250675695891681,0.9141787712961584,0.9618043301988031,0.956126964004341,0.114049915405948,0.11276984922894447,0.7633732617717925,0.762787547180151
10,28.543999999999983,5,gaussian,temp_forest_mod,300,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.00429653385593165,0.0024177264953768596,0.9265281640579717,0.9160845547406615,0.9625633298946993,0.9571230614402003,0.11414112411378019,0.11288294303260465,0.7642131160720522,0.7639007408966068
