mod_num,time_to_create,nfolds,activation,total_nodes,num_layers,adaptive_rate,rate,rate_decay,momentum_start,momentum_stable,input_dropout_ratio,initial_weight_distribution,initial_weight_scale,loss,distribution,stopping_metric,stopping_tolerance,categorical_encoding,seed,mini_batch_size,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,62.605,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.23772365580937982,-0.25443281031602427,20891572.329068843,19117694.18765921,4570.729955824217,4372.378550361257,NaN,NaN,2838.321525935535,2835.1112651830836
2,103.351,5,Tanh,200,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.14989350928148393,-0.16204617531757615,19409084.820449356,17709711.695171416,4405.574289516561,4208.290828254556,NaN,NaN,2651.3450045570544,2655.210110725427
3,148.49900000000002,5,Tanh,400,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.4845583533387898,-0.5315170618017726,25057902.117269713,23340488.697304163,5005.786862948693,4831.199509159621,NaN,NaN,3595.7580576928362,3576.446820884506
4,124.98200000000003,5,Tanh,300,3,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.024293366180026865,-0.03496723623361664,17289076.47946827,15773014.667542437,4158.013525647586,3971.5254836828676,1.09551876891883,1.09304078688894,2577.3100901903545,2566.3978560202954
5,53.40700000000004,5,Tanh,100,1,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.015847992990311033,-0.024228930843750662,17146526.788339075,15609361.7107249,4140.836484134465,3950.86847550319,1.09857250073705,1.09463425911709,2586.196273083221,2579.4243325750544
6,107.34900000000005,5,Tanh,200,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.005287625886485792,-0.010519161102965802,16968278.05556616,15400423.309933614,4119.256978578316,3924.3373083787806,1.07045428561933,1.06561463294309,2481.6154955165216,2477.3179609991175
7,170.231,5,Tanh,400,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.02647567589393196,-0.0319844521336663,17325911.746386282,15727556.709346736,4162.440599742689,3965.7983697291943,1.12547109697808,1.11907084163663,2676.976795715304,2654.003336617855
8,135.79700000000003,5,Tanh,300,3,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.0020721166826118687,-0.004029779930447841,16914003.38545525,15301524.42614876,4112.663782204333,3911.716301848686,1.06918306842882,1.06191484237913,2478.4221920201026,2465.5855197932615
9,57.26499999999987,5,Tanh,100,1,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.00323240116807888,1.2406373177897834e-5,16824468.279756658,15239921.061690528,4101.764044866142,3903.834148845277,1.07129525061507,1.06500506413475,2481.9225364919166,2472.517544658996
10,105.28899999999999,5,Tanh,200,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.00251045570734032,0.001512670431989771,16836654.01745333,15217056.872200876,4103.2492024557,3900.9046222896654,1.06537445652423,1.05878520077118,2470.3051949579,2455.91292948092
11,169.28600000000006,5,Tanh,400,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.003597281284416165,-2.2843435751851437e-4,16818309.458030887,15243591.50095162,4101.013223342603,3904.304227509893,1.06239148906216,1.0570033937059,2459.5439810843723,2451.535098559899
12,127.2539999999999,5,Tanh,300,3,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.04996291606990977,-0.08589920674071694,17722353.53259888,16549223.50752353,4209.792575958924,4068.0736851148026,NaN,NaN,2579.1212974938503,2603.2691064773703
13,60.40499999999997,5,Tanh,100,1,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-2.0006779582943315,-2.2425633357392623,50648527.48649678,49417022.360219024,7116.777886550681,7029.72420228696,NaN,NaN,5394.995349242252,5391.385714196028
14,102.34299999999985,5,Tanh,200,2,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-5.015462314799354,-5.645136930368062,101535157.26435566,101272618.68883392,10076.465514472606,10063.42976767036,NaN,NaN,7893.711757872065,7934.096252635096
