mod_num,time_to_create,nfolds,activation,total_nodes,num_layers,adaptive_rate,rate,rate_decay,momentum_start,momentum_stable,input_dropout_ratio,initial_weight_distribution,initial_weight_scale,loss,distribution,stopping_metric,stopping_tolerance,categorical_encoding,seed,mini_batch_size,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,56.539,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.15034728644668038,-0.1609030214459113,1.0773001978499779,1.0970869106521004,1.037930728830194,1.0474191666434696,0.122757849541605,NaN,0.8223944447907268,0.8237542748642271
2,95.09,5,Tanh,200,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.09938466366128251,-0.09831448816899657,1.0295737032022176,1.0379389376116874,1.0146791134157722,1.0187928825878632,0.120364822868414,NaN,0.8020673162309256,0.804881308320589
3,139.326,5,Tanh,400,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.2924432714704386,-0.31224529013348223,1.210373083389294,1.2401097290428467,1.1001695702887324,1.1136021412707713,0.129566871931244,NaN,0.8633772442053206,0.8754196109692118
4,107.25099999999998,5,Tanh,300,3,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.063405067442599,-0.06893111627349024,0.9958788124665001,1.010170801857133,0.9979372788239249,1.0050725356197596,0.117852549261483,NaN,0.7858993088323412,0.7927414517359289
5,65.66399999999999,5,Tanh,100,1,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.02496834045198426,-0.028485853025416397,0.9598828188395668,0.9719488590353503,0.9797360965278185,0.9858746670015162,0.116581510856346,NaN,0.7710460474920914,0.7783671759288764
6,106.26800000000003,5,Tanh,200,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.008358890166779931,-0.010869577199134062,0.9443280691659259,0.9553009691888926,0.9717654393761521,0.9773949913872552,0.115461311956241,NaN,0.7654440252933927,0.7713613163499153
7,160.80700000000002,5,Tanh,400,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.015082507243455279,-0.013302141747401519,0.9506247363483592,0.957599812999202,0.974999864794021,0.9785702902700459,0.115859976411282,NaN,0.7674375187722736,0.772241046408223
8,123.35700000000008,5,Tanh,300,3,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-8.618993972080435e-4,-0.0033091840211010304,0.9373071375442357,0.9481561791058479,0.9681462376853177,0.9737331149272104,0.114893899170748,NaN,0.7607407520931597,0.7673927228376815
9,61.35200000000009,5,Tanh,100,1,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.004598773644120757,0.002183108907249487,0.9321932174114825,0.9429658035362712,0.9655015367214506,0.9710642633401104,0.114493164936551,NaN,0.7581556892027659,0.7644452125146062
10,102.50299999999993,5,Tanh,200,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.0058371525740731345,0.0033207045741930896,0.9310334755822373,0.9418907427493126,0.9649007594474353,0.9705105577732334,0.114598873325398,NaN,0.758225997896776,0.764886605829566
