mod_num,time_to_create,nfolds,activation,total_nodes,num_layers,adaptive_rate,rate,rate_decay,momentum_start,momentum_stable,input_dropout_ratio,initial_weight_distribution,initial_weight_scale,loss,distribution,stopping_metric,stopping_tolerance,categorical_encoding,seed,mini_batch_size,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,56.613,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.18947418194814936,-0.183690911121823,1.9080910789984138,1.861557824336572,1.3813367000838042,1.3643891762750728,NaN,NaN,1.0770320616771025,1.071112815154518
2,109.453,5,Tanh,200,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.1944389475283621,-0.2103441220577431,1.916055291300531,1.9034745890048348,1.3842164900406768,1.3796646654186788,NaN,NaN,1.113690841928982,1.1142914070321794
3,164.16299999999998,5,Tanh,400,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.6181827195065734,-0.6532211332346025,2.5958024630874075,2.5999749656054525,1.611149422954745,1.6124437868048151,NaN,NaN,1.2435860998005137,1.245748480879995
4,127.76999999999998,5,Tanh,300,3,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.03379214995779489,-0.044794950551727775,1.6583542617481088,1.6431200043460847,1.2877710439935,1.281842425708435,NaN,NaN,0.997924587753491,0.9997585678467463
5,64.55700000000002,5,Tanh,100,1,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.0010480623075372897,-8.091180060054715e-4,1.6058279417290653,1.5739447070061354,1.267212666338632,1.2545695305586435,NaN,NaN,0.984317620580768,0.9816899659816459
6,117.55200000000002,5,Tanh,200,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.005435560622706115,0.0024313138046081484,1.5954272594271384,1.5688485698857109,1.2631022363320945,1.252536853703599,NaN,NaN,0.9876488442575577,0.9868840865235509
7,191.495,5,Tanh,400,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,7.516207641882211e-4,0.002038766963464056,1.6029409860756354,1.5694659174015906,1.26607305716362,1.2527832683276028,NaN,NaN,0.9895612269424561,0.9854784132433762
8,140.02499999999998,5,Tanh,300,3,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.011508724088338917,0.006042698220267484,1.5856850143192254,1.563169045904838,1.2592398557539486,1.2502675897202318,NaN,NaN,0.9816735250730376,0.9807639258406814
9,74.04600000000005,5,Tanh,100,1,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.021752036205320402,0.018725386274478728,1.569253239030251,1.5432233346054571,1.252698383103551,1.242265404253639,NaN,NaN,0.9830428529279259,0.9818776132511874
10,120.5440000000001,5,Tanh,200,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.01711258393415971,0.013619189540056698,1.5766956010624742,1.5512537084084936,1.2556654017143556,1.2454933594397417,NaN,NaN,0.9845364940699326,0.9823674648025237
11,200.45800000000008,5,Tanh,400,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.02310018067894326,0.018057664639985593,1.5670906175271027,1.5442734418771193,1.2518349002672449,1.242687990558016,NaN,NaN,0.9809257778458074,0.981289791766229
12,143.99199999999996,5,Tanh,300,3,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.012603313683595685,-0.024067663533258843,1.6243642600458945,1.6105227756574463,1.2745054962792017,1.2690637397930202,NaN,NaN,0.9993082077783345,0.9989458340457674
13,63.0150000000001,5,Tanh,100,1,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-1.7081123495267296,-1.7958116704193694,4.344209478001631,4.396895373225549,2.0842767277887146,2.096877529381616,NaN,NaN,1.6489953822937438,1.661477075733083
14,114.59399999999982,5,Tanh,200,2,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-4.403606655070983,-4.686587655165942,8.66817776243827,8.943138486395322,2.944176924445654,2.990508064927316,NaN,NaN,2.3383465231783807,2.3841345379868213
15,189.2370000000003,5,Tanh,400,2,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-8.128140555512228,-9.014763830846524,14.642876513124477,15.749940962650971,3.8266011698535394,3.9686195285830776,NaN,NaN,3.0550234690779945,3.16463026233737
16,150.2760000000003,5,Tanh,300,3,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-9.77030291526015,-10.524739423724554,17.2771458368773,18.124637644925368,4.1565786215200236,4.2573040348236075,NaN,NaN,3.303700037509859,3.3908953164774673
17,75.06500000000005,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.1495694159217198,-0.13931102395173922,1.8440779804208205,1.7917628082319488,1.3579683282097637,1.3385674462767831,NaN,NaN,1.0586278278638817,1.0469719997329991
18,124.95500000000038,5,Tanh,200,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.05391208341937248,-0.06354600774594688,1.690629586535067,1.6726092712708422,1.3002421261192343,1.293293961661788,NaN,NaN,1.0090436867119021,1.0105169705647987
19,191.46500000000015,5,Tanh,400,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.13043326448462778,-0.15579765897070907,1.8133807863180655,1.8176908812856296,1.3466182778790972,1.3482176683628018,NaN,NaN,1.0390007891822153,1.046873691435128
20,142.9760000000001,5,Tanh,300,3,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.03385398215228985,-0.03963043863240712,1.6584534496586167,1.6349979198711946,1.287809554887141,1.278670371859454,NaN,NaN,0.9918410586946714,0.9896701665089576
21,73.1869999999999,5,Tanh,100,1,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.007972034580076226,-0.014486674327298,1.6169350089735393,1.595455020001253,1.27158759390517,1.2631132253290887,NaN,NaN,0.9751925793593798,0.9761979028832285
22,129.72699999999986,5,Tanh,200,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,0.0034913847081224914,-1.588854119338734e-4,1.5985460027970404,1.5729221042626662,1.2643361905747381,1.2541619130968162,NaN,NaN,0.9777760268083686,0.9748053339216208
23,193.0010000000002,5,Tanh,400,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.01185591431420474,-0.018213414448080778,1.6231653218168627,1.601315960696098,1.274035055175823,1.26543113629154,NaN,NaN,0.9804583149205295,0.9808486845178154
24,145.0600000000004,5,Tanh,300,3,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,0.0024724279401654448,-0.005861628221721427,1.6001805589297675,1.5818906495120997,1.264982434237633,1.2577323441464403,NaN,NaN,0.9786258389385077,0.9798636611349999
25,71.69799999999987,5,Tanh,100,1,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.22705280270938832,-0.24997634618322606,1.96837269933434,1.9658030872837748,1.4029870631386234,1.4020709993733467,NaN,NaN,1.0898212351969332,1.095302823255953
26,116.46900000000005,5,Tanh,200,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-4.272439771125802,-4.541437446946293,8.45776683892759,8.714864784809416,2.908224000816923,2.952094982348877,NaN,NaN,2.2960016752284522,2.348884519857121
27,197.83599999999979,5,Tanh,400,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-14.999037109725133,-16.337606780113575,25.664802519405864,27.266372710594847,5.066044070022079,5.221721240222887,NaN,NaN,4.022187369711742,4.158135683535458
28,154.44399999999996,5,Tanh,300,3,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-11.450709843957144,-12.531788946733878,19.972765059551296,21.28106869316923,4.469089958766919,4.613140870726714,NaN,NaN,3.525589037748308,3.6688406562202043
29,78.19100000000071,5,Tanh,100,1,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-16.510980595545103,-17.41534771999933,28.09018166678496,28.961305957442843,5.30001713834823,5.381570956276879,NaN,NaN,4.1950497499391135,4.225836670818479
30,127.7460000000001,5,Tanh,200,2,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-38.865234154567176,-40.3792412349493,63.949683655957095,65.07598357161216,7.996854610154989,8.066968673027816,NaN,NaN,6.385363485140318,6.424096569795457
31,200.65500000000065,5,Tanh,400,2,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-76.47627841831347,-76.70154607478347,124.28331604630442,122.19906370783578,11.14824273355691,11.054368535010752,NaN,NaN,8.88055662410362,8.805310567901632
