mod_num,time_to_create,nfolds,ntrees,max_depth,mtries,min_split_improvement,sample_rate,categorical_encoding,histogram_type,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,28.81600000000001,5,100,3,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-3.531435588399745e-9,-1.224909353769732e-5,1.577791494401885,1.5726914933968754,1.2561017054370578,1.2540699714915733,NaN,NaN,0.9930171309691637,0.9915109858803982
2,29.635000000000005,5,200,3,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-2.0433243985706895e-9,-1.224909353769732e-5,1.5777914920539557,1.5726914933968754,1.2561017045024483,1.2540699714915733,NaN,NaN,0.9930167759206044,0.9915109858803982
3,26.656000000000006,5,100,5,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-3.531435588399745e-9,-1.224909353769732e-5,1.577791494401885,1.5726914933968754,1.2561017054370578,1.2540699714915733,NaN,NaN,0.9930171309691637,0.9915109858803982
4,29.65299999999999,5,200,5,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-2.0433243985706895e-9,-1.224909353769732e-5,1.5777914920539557,1.5726914933968754,1.2561017045024483,1.2540699714915733,NaN,NaN,0.9930167759206044,0.9915109858803982
5,26.683999999999997,5,100,7,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-3.531435588399745e-9,-1.224909353769732e-5,1.577791494401885,1.5726914933968754,1.2561017054370578,1.2540699714915733,NaN,NaN,0.9930171309691637,0.9915109858803982
6,31.847999999999985,5,200,7,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-2.0433243985706895e-9,-1.224909353769732e-5,1.5777914920539557,1.5726914933968754,1.2561017045024483,1.2540699714915733,NaN,NaN,0.9930167759206044,0.9915109858803982
7,26.560000000000002,5,100,10,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-3.531435588399745e-9,-1.224909353769732e-5,1.577791494401885,1.5726914933968754,1.2561017054370578,1.2540699714915733,NaN,NaN,0.9930171309691637,0.9915109858803982
8,28.57899999999995,5,200,10,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-2.0433243985706895e-9,-1.224909353769732e-5,1.5777914920539557,1.5726914933968754,1.2561017045024483,1.2540699714915733,NaN,NaN,0.9930167759206044,0.9915109858803982
9,26.71799999999996,5,100,15,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-3.531435588399745e-9,-1.224909353769732e-5,1.577791494401885,1.5726914933968754,1.2561017054370578,1.2540699714915733,NaN,NaN,0.9930171309691637,0.9915109858803982
10,28.54499999999996,5,200,15,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-2.0433243985706895e-9,-1.224909353769732e-5,1.5777914920539557,1.5726914933968754,1.2561017045024483,1.2540699714915733,NaN,NaN,0.9930167759206044,0.9915109858803982
11,26.50200000000001,5,100,20,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-3.531435588399745e-9,-1.224909353769732e-5,1.577791494401885,1.5726914933968754,1.2561017054370578,1.2540699714915733,NaN,NaN,0.9930171309691637,0.9915109858803982
12,28.476,5,200,20,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-2.0433243985706895e-9,-1.224909353769732e-5,1.5777914920539557,1.5726914933968754,1.2561017045024483,1.2540699714915733,NaN,NaN,0.9930167759206044,0.9915109858803982
13,26.495000000000005,5,100,30,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-3.531435588399745e-9,-1.224909353769732e-5,1.577791494401885,1.5726914933968754,1.2561017054370578,1.2540699714915733,NaN,NaN,0.9930171309691637,0.9915109858803982
14,33.391000000000076,5,200,30,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,-2.0433243985706895e-9,-1.224909353769732e-5,1.5777914920539557,1.5726914933968754,1.2561017045024483,1.2540699714915733,NaN,NaN,0.9930167759206044,0.9915109858803982
15,28.66300000000001,5,100,3,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.018505042574744612,0.019010432600652827,1.5485943901551469,1.542775050164137,1.244425325262688,1.2420849609282518,NaN,NaN,0.9817618740022188,0.9800878775880524
16,32.56700000000001,5,200,3,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0186362065364426,0.018977946918412703,1.5483874407727385,1.5428261394944554,1.2443421719015788,1.2421055267143992,NaN,NaN,0.9817921660330886,0.980164445201123
17,30.513000000000034,5,100,5,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02375566652519845,0.02419651492614039,1.5403100003750738,1.5346190425104875,1.2410922610245678,1.2387974178656038,NaN,NaN,0.9782956821423278,0.9767032195977485
18,37.648000000000025,5,200,5,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.023895273794409477,0.02410570422563796,1.5400897292139337,1.5347618579773172,1.2410035170030478,1.238855059309731,NaN,NaN,0.9782364698464407,0.9767675516622
19,32.51700000000005,5,100,7,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02606762872716073,0.026604894736562024,1.536662206090321,1.5308314504643379,1.239621799618868,1.2372677359667703,NaN,NaN,0.9764990236588421,0.9750554797414802
20,45.399,5,200,7,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.026349741387505676,0.026677565298785955,1.5362170911359374,1.5307171634892198,1.2394422500205233,1.2372215498807075,NaN,NaN,0.9763972635930674,0.9750348020998482
21,40.60799999999995,5,100,10,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.025768361276144236,0.027739963664395684,1.5371343877274186,1.5290463590828662,1.239812238900479,1.236546141105485,NaN,NaN,0.9764294573362261,0.9746246367814658
22,65.84000000000003,5,200,10,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02693188067262775,0.02792483834902537,1.5352985967265582,1.5287556118003953,1.2390716673084565,1.2364285712488188,NaN,NaN,0.9758365931304146,0.9744874323774392
23,125.76400000000012,5,100,15,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.018736213291201675,0.024459914350317025,1.548229650966254,1.5342048015507956,1.2442787673854496,1.2386302117867123,NaN,NaN,0.980942332914537,0.977852004111169
24,236.6579999999999,5,200,15,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02358206549621089,0.02560838362364004,1.5405839066010625,1.5323986358181059,1.2412026049767468,1.2379008990295248,NaN,NaN,0.9785570321398986,0.9769911455338762
25,332.44499999999994,5,100,20,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.004846068185887065,0.01620730412574689,1.5701454036920335,1.547183452472588,1.2530544296605928,1.243858292761916,NaN,NaN,0.9892179605379896,0.9835989143877076
26,669.1280000000002,5,200,20,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.015329145670530564,0.019888921700263462,1.5536052932600173,1.5413934747531841,1.246437039428794,1.2415286846276183,NaN,NaN,0.9841358780581728,0.9815088794928417
27,683.7059999999997,5,100,30,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.010035450064469043,0.008003474944189626,1.593625336528314,1.5600853868027038,1.2623887422376334,1.249033781289643,NaN,NaN,0.9982168090047749,0.9887231655431082
28,1382.8979999999997,5,200,30,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.004968437976875517,0.01333474880506369,1.569952329677322,1.5517010404533806,1.252977385940114,1.2456729267562094,NaN,NaN,0.9907351284204428,0.9860563892747997
29,28.48400000000038,5,100,3,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.018505042574744612,0.019010432600652827,1.5485943901551469,1.542775050164137,1.244425325262688,1.2420849609282518,NaN,NaN,0.9817618740022188,0.9800878775880524
