mod_num,time_to_create,nfolds,ntrees,max_depth,mtries,min_split_improvement,sample_rate,categorical_encoding,histogram_type,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,28.781999999999996,5,100,3,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.008218989379637498,0.00871254893466733,16473094.903323192,16439602.811126545,4058.706062690817,4054.5780065410686,NaN,NaN,2776.0030454158536,2769.021906782118
2,30.62400000000001,5,200,3,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.00926754978458555,0.009808612630563873,16455678.724874916,16421425.589376315,4056.559961947428,4052.335818929166,NaN,NaN,2775.1181519904508,2768.096748321065
3,27.563999999999993,5,100,5,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.008220304474927387,0.008712295485159172,16473073.060104493,16439607.01435664,4058.703371780758,4054.5785248724237,NaN,NaN,2776.0009850091797,2769.0251063876776
4,30.587999999999994,5,200,5,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.009268240365800318,0.009808524994250334,16455667.254590884,16421427.042745048,4056.558548152718,4052.335998253976,NaN,NaN,2775.1175985400755,2768.0989304704863
5,26.507000000000005,5,100,7,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0082189319717213,0.00871225466039427,16473095.856846241,16439607.691398319,4058.706180157199,4054.578608363429,NaN,NaN,2776.0039747664614,2769.025602707069
6,30.625999999999976,5,200,7,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.009267908541240932,0.009808602739369787,16455672.766067106,16421425.753412794,4056.5592274817222,4052.33583916891,NaN,NaN,2775.1188722161355,2768.098401027006
7,27.569000000000017,5,100,10,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.008217832670855962,0.008714520791860303,16473114.115803901,16439570.109664403,4058.708429513495,4054.57397387992,NaN,NaN,2776.013270220044,2769.0171044024623
8,29.74799999999999,5,200,10,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.009267662576298186,0.009809747971149196,16455676.851448659,16421406.760782996,4056.559731034249,4052.3334957506886,NaN,NaN,2775.1232210526523,2768.0930037950584
9,27.559000000000026,5,100,15,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.00821405806010067,0.008720021930511912,16473176.810613068,16439478.878271991,4058.7161529987616,4054.562723435413,NaN,NaN,2776.0264760101763,2768.99656798746
10,29.625,5,200,15,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.009266221520979001,0.00981258883426106,16455700.78681421,16421359.647646287,4056.5626812381697,4052.3276826592255,NaN,NaN,2775.130202099366,2768.0823143964512
11,26.687000000000012,5,100,20,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.008215749287378116,0.008718131599223633,16473148.719989082,16439510.227700986,4058.7126924665513,4054.566589378079,NaN,NaN,2776.024359292276,2769.0031537246905
12,30.53699999999992,5,200,20,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.009267103297999624,0.009811636979631277,16455686.14084258,16421375.433291541,4056.5608760183272,4052.3296303844213,NaN,NaN,2775.1290417012715,2768.0852042273887
13,28.840000000000032,5,100,30,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.008216318129618871,0.008718155273223727,16473139.271741822,16439509.835089179,4058.711528520082,4054.5665409620765,NaN,NaN,2776.021670210515,2769.003445104103
14,30.571000000000026,5,200,30,-1,0.01,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0092674071720239,0.00981164512779209,16455681.093613818,16421375.29816169,4056.560253911412,4052.3296137113143,NaN,NaN,2775.1276403372617,2768.0854030602677
15,28.515999999999963,5,100,3,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.025282322614723074,0.02655815531089767,16189679.608274568,16143649.623750225,4023.640094277142,4017.916079729668,NaN,NaN,2754.3092515215353,2746.0559331700388
16,31.937000000000012,5,200,3,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.025490618384583663,0.026754617739957354,16186219.896959135,16140391.472648261,4023.210148247185,4017.51060641391,NaN,NaN,2753.3392795024743,2745.379761227864
17,29.46300000000008,5,100,5,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.03085124275602491,0.03247313455819212,16097182.021595316,16045555.060607037,4012.129362520022,4005.6903350867046,NaN,NaN,2743.746730389116,2736.5052059401714
18,36.62800000000004,5,200,5,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.03101064668103981,0.0326723014464132,16094534.384711152,16042252.0585041,4011.79939487397,4005.2780251193676,NaN,NaN,2743.2102531988694,2736.0549975452454
19,32.587999999999965,5,100,7,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0329345755915722,0.03506895470644156,16062578.677563034,16002505.739080291,4007.814701001412,4000.3132051228554,NaN,NaN,2739.1392982003963,2731.610159133747
20,41.62199999999996,5,200,7,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0334031075190776,0.035271384263833694,16054796.545394355,15999148.62856993,4006.8437136222765,3999.8935771555134,NaN,NaN,2738.35238523926,2731.6987923598854
21,40.60400000000004,5,100,10,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.032022510605316135,0.0364314957008558,16077727.72046233,15979909.233154614,4009.7041936360256,3997.4878652917278,NaN,NaN,2740.643857180414,2731.503863555389
22,66.0139999999999,5,200,10,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.03343939042380262,0.03721265880687552,16054193.90052971,15966954.351924282,4006.768510973614,3995.8671589436353,NaN,NaN,2738.6122560324666,2730.8869614167525
23,127.50300000000016,5,100,15,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.02092122803030827,0.031189207578103728,16262115.684587924,16066847.824445073,4032.6313598676393,4008.347268444324,NaN,NaN,2768.3639346479467,2752.961259771583
24,248.452,5,200,15,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.026629451798424797,0.03375430340111274,16167304.319120489,16024308.037971,4020.8586544568425,4003.0373515583137,NaN,NaN,2759.6900708501034,2749.633982846384
25,356.1199999999999,5,100,20,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0024885285387215017,0.020985486705469514,16568275.617877448,16236067.275535101,4070.4146739463104,4029.400361782768,NaN,NaN,2811.4504157650917,2785.7187230706877
26,719.0550000000001,5,200,20,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.014204704386692524,0.02582679913812702,16373674.516847163,16155778.502190977,4046.439733499952,4019.425145738004,NaN,NaN,2795.3895724157665,2779.9403739432514
27,729.1999999999998,5,100,30,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.011645233952350731,0.012241966433032103,16803031.888025057,16381070.624760823,4099.1501421666735,4047.3535334537833,NaN,NaN,2848.8000215870657,2817.117522857012
28,1465.382,5,200,30,-1,0.001,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0047488103566445394,0.018946111167690516,16530733.220416527,16269888.46815464,4065.8004403089594,4033.5949806784815,NaN,NaN,2826.5312931553635,2808.2703040853294
29,28.524999999999636,5,100,3,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.025287006619197472,0.026565391233873248,16189601.808791205,16143529.622534066,4023.630426467024,4017.9011464362916,NaN,NaN,2754.2851438115345,2746.032739261983
30,32.48000000000047,5,200,3,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0254941604642408,0.026758538913928875,16186161.064400615,16140326.443536296,4023.2028365968094,4017.502513196015,NaN,NaN,2753.321688494773,2745.3660806133544
31,29.471999999999753,5,100,5,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.030883708387817066,0.032500897285763775,16096642.78014193,16045094.640964137,4012.06216055309,4005.632863975946,NaN,NaN,2743.756848157527,2736.5110619672146
32,35.52800000000025,5,200,5,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.031057419436965494,0.032706077678460344,16093757.507518502,16041691.910346556,4011.7025696726946,4005.208098257387,NaN,NaN,2743.1758734777536,2736.04233035369
33,31.458999999999833,5,100,7,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.032921340432835566,0.035285642903227665,16062798.508376082,15998912.161974886,4007.842126179134,3999.8640179354707,NaN,NaN,2739.272453626953,2731.4894643163016
34,42.67500000000018,5,200,7,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.0334182750828087,0.03541484864744515,16054544.61808972,15996769.401957529,4006.8122763725432,3999.5961548583286,NaN,NaN,2738.2900792098562,2731.56095757546
35,41.92999999999938,5,100,10,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.031819184125196465,0.03683922303096132,16081104.89381764,15973147.445385614,4010.125296523494,3996.6420211704744,NaN,NaN,2740.617912128093,2731.363414827907
36,67.28699999999935,5,200,10,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.03350851448832648,0.03721943835151276,16053045.776838278,15966841.919328714,4006.6252353867935,3995.8530903085907,NaN,NaN,2738.451705892698,2730.909119978452
37,128.58100000000013,5,100,15,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.019163419330881504,0.030511065320482977,16291312.199965278,16078094.198393159,4036.2497692741063,4009.749892249286,NaN,NaN,2769.8631419591343,2754.879217384185
38,255.35399999999936,5,200,15,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,0.025691109411710822,0.03286061684319053,16182889.819369664,16039129.018539345,4022.7962686879464,4004.8881405776297,NaN,NaN,2760.2971406794472,2750.520057286027
39,369.3870000000006,5,100,20,-1,1e-4,0.632,EnumLimited,UniformAdaptive,16,0.8,-0.0010889081412450707,0.018783260208491415,16627695.44272654,16272589.203530407,4077.7071305730797,4033.929746975077,NaN,NaN,2816.075961333739,2791.5494801194386
