mod_num,time_to_create,nfolds,activation,total_nodes,num_layers,adaptive_rate,rate,rate_decay,momentum_start,momentum_stable,input_dropout_ratio,initial_weight_distribution,initial_weight_scale,loss,distribution,stopping_metric,stopping_tolerance,categorical_encoding,seed,mini_batch_size,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,64.85300000000001,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.267636479755192,-0.3152715956782186,22770706.64811835,21812585.843257554,4771.86615991253,4670.394613226762,NaN,NaN,3199.834277205003,3185.3542119126
2,108.65199999999999,5,Tanh,200,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.1846917808851134,-0.22741963254328712,21280761.039775,20355640.75778928,4613.1075252778355,4511.722593177608,NaN,NaN,3495.3996671518626,3461.559919618989
3,165.70799999999997,5,Tanh,400,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.1497990322241034,-0.17454800245721747,20653978.396173716,19478812.75229231,4544.664827704428,4413.480797770883,NaN,NaN,3087.2185373266702,3042.600798349811
4,131.60500000000008,5,Tanh,300,3,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.03014969452041938,-0.027498720371195162,18504702.942994587,17040133.851881023,4301.709304799034,4127.969700940284,NaN,NaN,2853.5563440990313,2811.745612652047
5,62.38099999999997,5,Tanh,100,1,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.0030790703130630925,-0.004753750047117977,17907810.641150557,16662929.15946124,4231.7621201044085,4082.0251296949705,NaN,NaN,2819.0740496129797,2779.8460452338277
6,115.48300000000006,5,Tanh,200,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.01948172550700633,0.013244037455507618,17613167.771813404,16364452.18620364,4196.804471477484,4045.3000118907917,NaN,NaN,2733.997840871028,2697.9870156549237
7,192.442,5,Tanh,400,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.005434182265417475,-0.00661151959960482,17865505.481708556,16693738.581616908,4226.760636907247,4085.797178228125,NaN,NaN,2929.0390863906437,2895.843388228719
8,154.30900000000008,5,Tanh,300,3,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.023718866345353806,0.01266309787753872,17537055.50098683,16374086.54191833,4187.726770096973,4046.4906452280757,NaN,NaN,2844.4144394599934,2808.625438339256
9,68.66699999999992,5,Tanh,100,1,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.03215355166549416,0.02588550670063572,17385542.233451962,16154804.89054219,4169.597370664458,4019.304030618011,NaN,NaN,2808.0708430175678,2767.1979801309826
10,120.73199999999997,5,Tanh,200,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.02733809981570967,0.019676959063741117,17472042.774577726,16257768.019022044,4179.957269467922,4032.0922632080287,NaN,NaN,2828.5604700465565,2788.1160359883634
11,194.4749999999999,5,Tanh,400,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,0.03051790894553741,0.023471736947296207,17414923.480483018,16194835.071474843,4173.119154838862,4024.2806899463217,NaN,NaN,2816.265214708725,2777.8536322114483
12,152.09699999999998,5,Tanh,300,3,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-0.03480419244966981,-0.05865505877875221,18588312.249474708,17556833.450891208,4311.416501507911,4190.0875230585825,NaN,NaN,2900.7706201281608,2886.4365460741533
13,66.70600000000013,5,Tanh,100,1,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-1.860717685267709,-2.0861652191368147,51387416.07285963,51181249.553393915,7168.501661634712,7154.107180731493,NaN,NaN,5558.460040084784,5567.532908714996
14,123.75299999999993,5,Tanh,200,2,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-4.5620464379233985,-5.2785770479200025,99911709.56647168,104124502.7120368,9995.584503493114,10204.141449041012,NaN,NaN,7851.235536810067,8061.471277732635
15,191.08400000000006,5,Tanh,400,2,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-8.655300025166769,-10.106364802160373,173439316.3843798,184188981.53786778,13169.636152315667,13571.624130437292,NaN,NaN,10453.83596000647,10780.142301581092
16,151.39499999999998,5,Tanh,300,3,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,gaussian,MAE,0.001,EnumLimited,16,50,-9.627467641858772,-11.113193476902891,190902480.2850977,200886321.4404679,13816.746371164872,14173.437178061922,NaN,NaN,10943.209815136472,11243.09578625912
17,60.58100000000013,5,Tanh,100,1,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.18421041326148768,-0.1809750853910579,21272114.17521837,19585400.090357523,4612.170224007173,4425.539525341235,NaN,NaN,2781.6858397532133,2717.1792792752885
18,113.54700000000003,5,Tanh,200,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.12902979283816252,-0.13709305978567654,20280898.049469635,18857656.51736579,4503.431808018151,4342.540329964224,NaN,NaN,2643.062311163082,2599.9806653279866
19,185.64699999999993,5,Tanh,400,2,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.16498233968976428,-0.17866779796723575,20926717.97551709,19547135.822230272,4574.572982860486,4421.214292728896,NaN,NaN,2752.820497167959,2726.6147836365276
20,144.51600000000008,5,Tanh,300,3,FALSE,0.01,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.16225789933298929,-0.1706246889166858,20877778.52549716,19413748.157516558,4569.220778808698,4406.103511893083,NaN,NaN,2637.9847897195677,2596.095738811711
21,62.55899999999974,5,Tanh,100,1,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.043327259441330535,-0.04015338838470539,18741413.127611987,17250000.03713859,4329.135378757747,4153.311935929998,NaN,NaN,2585.3672792802126,2539.9696747094335
22,115.45500000000038,5,Tanh,200,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.10349244468255292,-0.10248507642071969,19822167.591085736,18283714.51900545,4452.209293270672,4275.946037896812,NaN,NaN,2566.1036959779844,2520.888704866192
23,190.54199999999992,5,Tanh,400,2,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.06892530929550866,-0.06938045781541158,19201233.97791283,17734704.460923694,4381.921265599466,4211.259248838011,NaN,NaN,2567.6592379778995,2527.946023484792
24,151.0619999999999,5,Tanh,300,3,FALSE,0.001,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.09379450655442789,-0.09516076722467481,19647962.361326348,18162247.49758855,4432.602211041089,4261.718843094714,NaN,NaN,2564.5395004127595,2521.7197186127823
25,58.74299999999994,5,Tanh,100,1,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-0.27135575729380546,-0.3036389700780726,22837516.478166044,21619669.3039516,4778.861420690711,4649.695614118369,NaN,NaN,3181.4419489328216,3163.8401711778565
26,119.54200000000037,5,Tanh,200,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-4.71569744799787,-5.420235448190248,102671761.15260825,106473778.72960332,10132.707493686386,10318.613217366146,NaN,NaN,7975.981303102607,8143.908055405112
27,189.98399999999992,5,Tanh,400,2,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-16.16631117686728,-18.563947802534503,308360513.6657547,324450320.5862555,17560.196857260875,18012.504561727543,NaN,NaN,13922.835356429872,14335.56313308898
28,150.20800000000008,5,Tanh,300,3,FALSE,1e-4,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-12.342917151359089,-13.914862329035872,239680426.63336766,247349456.91935682,15481.61576300638,15727.347421588831,NaN,NaN,12265.92297373474,12463.873105668004
29,70.66600000000017,5,Tanh,100,1,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-16.085022859619187,-18.10660186766534,306900321.8398355,316865653.28470516,17518.570770466282,17800.720583299575,NaN,NaN,13880.937949058765,13946.1619927513
30,122.71100000000024,5,Tanh,200,2,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-37.365863779651846,-41.29917154014914,689170628.4729481,701493374.714303,26252.059509168954,26485.720203806108,NaN,NaN,20942.363405895823,21093.28041324087
31,201.16899999999987,5,Tanh,400,2,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-73.457517408557507,-78.02379364340142,1337489346.302858,1310537905.7606218,36571.701441180696,36201.35226425419,NaN,NaN,29103.405730137405,28849.16586488799
32,162.60500000000047,5,Tanh,300,3,FALSE,1e-5,0.5,0.5,0.99,0.1,Normal,1,Automatic,laplace,MAE,0.001,EnumLimited,16,50,-49.179174745783925,-54.33064262118308,901374555.11029315,917608496.9088243,30022.90051128127,30292.05336237252,NaN,NaN,23885.074266012223,24198.414832798986
