mod_num,time_to_create,nfolds,distribution,model_id,ntrees,max_depth,learn_rate,min_split_improvement,sample_rate,nbins,categorical_encoding,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
1,24.628,5,gaussian,temp_forest_mod,300,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.004966681782321514,0.005237081729711379,16527114.46120107,16497240.280834418,4065.355391746344,4061.6794901659114,NA,NA,2777.4132452818767,2771.1936226974544
2,29.617999999999995,5,gaussian,temp_forest_mod,500,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.007555033765345165,0.007983397783298818,16484122.946539095,16451695.121288337,4060.064401772353,4056.0689246225015,NA,NA,2774.3519575296204,2767.7527191101476
3,44.79499999999999,5,gaussian,temp_forest_mod,1000,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.012430695363195299,0.013100496725103827,16403140.113274688,16366832.678958312,4050.079025559216,4045.5942306363736,NA,NA,2767.664517711239,2760.5814682177006
4,23.468999999999994,5,gaussian,temp_forest_mod,300,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.008812760617943671,0.009242361500984897,16463232.59515764,16430816.350503802,4057.4909236075487,4053.4943382844144,NA,NA,2771.8422123827095,2765.106977428899
5,33.67199999999997,5,gaussian,temp_forest_mod,500,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.012882290511294303,0.013485799580278068,16395639.294391433,16360442.780756483,4049.1529107198994,4044.8044181092964,NA,NA,2766.713220322844,2759.579120019995
6,54.01400000000001,5,gaussian,temp_forest_mod,1000,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.01957586608091788,0.020223128234038934,16284461.620670896,16248710.298965435,4035.4010483062148,4030.968903249619,NA,NA,2758.2933793322118,2750.9131692581145
7,26.66700000000003,5,gaussian,temp_forest_mod,300,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.010959641043169932,0.010886281613333604,16427573.75050128,16403553.427250622,4053.09434265985,4050.130050658944,NA,NA,2767.8170665246594,2761.717976067334
8,37.860000000000014,5,gaussian,temp_forest_mod,500,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.01601023059644824,0.015772259791546284,16343685.432275824,16322523.913049342,4042.732421553005,4040.1143440562846,NA,NA,2761.127273730926,2754.7262979246434
9,67.38,5,gaussian,temp_forest_mod,1000,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.024013814293743274,0.023145705284753793,16210749.035631405,16200242.010733772,4026.2574477585763,4024.9524234124524,NA,NA,2751.4406969877614,2744.187189213392
10,32.81600000000003,5,gaussian,temp_forest_mod,300,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.014479897987478063,0.01199664077044127,16369103.658710152,16385139.128248924,4045.8748941001813,4047.856115062506,NA,NA,2762.5928864542843,2756.964347466861
11,47.860000000000014,5,gaussian,temp_forest_mod,500,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.021569253991232662,0.017260459396918115,16251352.226687629,16297843.473092502,4031.2965937384997,4037.0587651274664,NA,NA,2752.8151854337893,2747.4978387455863
12,88.42499999999995,5,gaussian,temp_forest_mod,1000,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0333664603885101,0.025276625858171142,16055405.239907872,16164902.62677265,4006.919669759786,4020.5599892020823,NA,NA,2737.3306879567062,2732.5249448958557
13,41.752000000000066,5,gaussian,temp_forest_mod,300,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.019568933537438826,0.012641467816087992,16284576.76750818,16374445.256858833,4035.415315368194,4046.534969187692,NA,NA,2755.7659772353154,2753.9718062366046
14,64.03099999999995,5,gaussian,temp_forest_mod,500,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.029692213850605942,0.018082751272519904,16116433.038654735,16284206.508541824,4014.527747899463,4035.369438916569,NA,NA,2741.9703753284457,2742.944909749046
15,119.827,5,gaussian,temp_forest_mod,1000,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.047598911225978924,0.0262275796354976,15819009.79490348,16149131.921338836,3977.3118805172267,4018.5982532891785,NA,NA,2718.461762882658,2725.690163676587
16,72.12400000000002,5,gaussian,temp_forest_mod,300,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.03366706125851915,0.013233240351895215,16050412.376960654,16364631.246368991,4006.29659123743,4045.3221437073453,NA,NA,2737.034384995248,2751.176244385964
17,115.53399999999988,5,gaussian,temp_forest_mod,500,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.051806320121700944,0.018884903004201092,15749126.377804212,16270903.550001469,3968.516899019609,4033.7208071458626,NA,NA,2712.1195347730004,2738.8742114756915
18,218.80500000000006,5,gaussian,temp_forest_mod,1000,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.08734887156750781,0.026666708902020275,15158778.491725214,16141849.36095071,3893.427601962725,4017.692044065935,NA,NA,2663.7584490321938,2719.6248871229523
19,24.067000000000007,5,gaussian,temp_forest_mod,300,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,5.852622398053731e-4,5.897967842452001e-4,16599888.127123546,16574311.284377825,4074.296028410742,4071.1560132691825,NA,NA,2782.937233178182,2777.213400918912
20,27.511999999999944,5,gaussian,temp_forest_mod,500,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,9.614950240358633e-4,9.815505731334273e-4,16593639.047645312,16567814.403294386,4073.529065521113,4070.3580190561106,NA,NA,2782.5666809197864,2776.812354431349
21,42.74800000000005,5,gaussian,temp_forest_mod,1000,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0018460770646014923,0.001910408802480501,16578946.485730965,16552410.132472739,4071.7252468371394,4068.4653289013954,NA,NA,2781.5391734812297,2775.6993673016887
22,23.473999999999933,5,gaussian,temp_forest_mod,300,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0010717861424128783,0.001109344736536233,16591807.15528141,16565695.053063871,4073.304206081521,4070.0976711946205,NA,NA,2781.982855512082,2776.210386416021
23,31.753999999999905,5,gaussian,temp_forest_mod,500,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0017683769567190533,0.0018442424631479604,16580237.054150242,16553507.441166522,4071.883723063595,4068.6001820240976,NA,NA,2780.9838011566158,2775.1506910248145
24,51.05199999999968,5,gaussian,temp_forest_mod,1000,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.003401553495261722,0.003569645633741625,16553110.63024698,16524893.195335876,4068.5514166896037,4065.082188017344,NA,NA,2778.6605744604362,2772.652126045284
25,26.67599999999993,5,gaussian,temp_forest_mod,300,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0013413891675058132,0.0013274347795142472,16587329.15442132,16562078.22761151,4072.754492284223,4069.653330151293,NA,NA,2781.5470230773426,2775.8397340919487
26,36.97200000000021,5,gaussian,temp_forest_mod,500,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0022140240884143125,0.0022059813671944095,16572835.0294944,16547508.329710541,4070.9747026350333,4067.8628700720164,NA,NA,2780.258049113763,2774.5281147187884
27,63.389000000000124,5,gaussian,temp_forest_mod,1000,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.004263759963964664,0.0042709357296287775,16538789.717834756,16513262.935496138,4066.7910836229044,4063.6514288870962,NA,NA,2777.2459405380073,2771.4413837608545
28,32.71199999999999,5,gaussian,temp_forest_mod,300,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0017396217144900472,0.0014779782914438044,16580714.667483361,16559581.600080056,4071.942370353903,4069.3465814648985,NA,NA,2780.981709358597,2775.31422985032
29,48.76200000000017,5,gaussian,temp_forest_mod,500,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.002869575359629284,0.002453980451915916,16561946.57913179,16543395.489942458,4069.637155709559,4067.357310335847,NA,NA,2779.3260892130206,2773.66578846959
30,88.40599999999995,5,gaussian,temp_forest_mod,1000,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0055406658013320564,0.004738072844696184,16517580.811013276,16505515.890356213,4064.18267441478,4062.6981047520885,NA,NA,2775.425849886244,2769.757293969901
31,41.76899999999978,5,gaussian,temp_forest_mod,300,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.002302696285993888,0.0015545699387327083,16571362.218954196,16558311.397114482,4070.793806980918,4069.190508825371,NA,NA,2780.232171906078,2774.9584245897086
32,68.63799999999992,5,gaussian,temp_forest_mod,500,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0037965735866477557,0.002588630820480109,16546549.500940774,16541162.435771149,4067.745014248161,4067.0827918510768,NA,NA,2778.0923710538623,2773.099377546563
33,122.72299999999996,5,gaussian,temp_forest_mod,1000,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.007356291628881073,0.004990057024292005,16487423.975738287,16501336.961405996,4060.4709056633183,4062.183767557297,NA,NA,2773.0127497917674,2768.682430836447
34,73.18100000000004,5,gaussian,temp_forest_mod,300,10,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.003819895717932398,0.0016529948007364403,16546162.12945666,16556679.110095875,4067.6973989539415,4068.9899373303783,NA,NA,2778.238224311578,2774.587742142361
35,111.49099999999999,5,gaussian,temp_forest_mod,500,10,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.00630197492668183,0.002739763174723131,16504935.764033793,16538656.042824283,4062.6267074435714,4066.7746486404044,NA,NA,2774.7884282162977,2772.4963073635186
36,225.279,5,gaussian,temp_forest_mod,1000,10,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.012278668055159092,0.00527852710907617,16405665.227434326,16496552.94682814,4050.3907499689863,4061.59487724073,NA,NA,2766.488659746695,2767.4883815625753
37,64.50999999999976,5,huber,temp_forest_mod,300,1,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.07530070831907798,-0.07273848689949491,17860324.434595644,17790394.325968605,4226.1477061971755,4217.866086775231,NA,NA,2551.7786659680037,2539.2170950006043
38,109.3439999999996,5,huber,temp_forest_mod,500,1,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.058367468379855625,-0.05594788165418185,17579069.938338377,17511937.374965426,4192.740146770174,4184.726678645265,NA,NA,2558.14137355238,2545.641606216622
39,164.837,5,huber,temp_forest_mod,1000,1,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.032744636094799606,-0.030566888803680747,17153484.7099424,17091016.641059373,4141.676557861852,4134.128280672889,NA,NA,2576.4896773096248,2564.5754567466633
40,82.67199999999957,5,huber,temp_forest_mod,300,2,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.07259892288914194,-0.07005811515600247,17815448.83472112,17745942.792962886,4220.835087363769,4212.593357180691,NA,NA,2548.1428243378673,2535.6120288378047
41,123.75200000000041,5,huber,temp_forest_mod,500,2,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.05446651509601552,-0.05202469393312148,17514276.629160244,17446874.866791423,4185.006168353906,4176.945638476927,NA,NA,2552.9699904213803,2540.5186311788125
42,230.52099999999973,5,huber,temp_forest_mod,1000,2,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.027401479460640532,-0.025231457430342052,17064736.966866773,17002533.35348275,4130.948676377712,4123.4128284083745,NA,NA,2568.8011272356857,2557.050942343704
43,98.05199999999968,5,huber,temp_forest_mod,300,3,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.0710618432622947,-0.06865541774131745,17789918.54295723,17722680.329247814,4217.809685483359,4209.831389645886,NA,NA,2545.9275523622905,2533.6666962841587
44,155.85699999999997,5,huber,temp_forest_mod,500,3,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.052304733745896614,-0.05011234663444952,17478370.285966128,17415160.32224301,4180.714088043588,4173.147531808935,NA,NA,2549.5757972981296,2537.6928837339688
45,304.924,5,huber,temp_forest_mod,1000,3,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.024380462450277474,-0.022849190904932648,17014559.055227652,16963025.624997046,4124.8707925494655,4118.619383361012,NA,NA,2562.9525716551284,2551.915981530594
46,208.9319999999998,5,huber,temp_forest_mod,300,5,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.06902024048218625,-0.06786825601978852,17756008.318833686,17709625.96642283,4213.7878825154085,4208.28064254546,NA,NA,2541.4466690909667,2530.8947520891725
47,367.39599999999973,5,huber,temp_forest_mod,500,5,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.04924771707450004,-0.04900794412482168,17427594.43402936,17396844.808834277,4174.637042190538,4170.952506183004,NA,NA,2542.827396413607,2533.4110930332804
48,846.9409999999998,5,huber,temp_forest_mod,1000,5,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.01954926354490949,-0.02127485169575105,16934314.72990509,16936916.63788023,4115.13240733577,4115.448534228101,NA,NA,2552.52944970424,2545.3160243161547
49,600.1990000000005,5,huber,temp_forest_mod,300,7,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.06657153228556068,-0.06760805822511329,17715336.232877605,17705310.82212014,4208.959043858423,4207.767914479141,NA,NA,2536.7803814709196,2529.2753949145067
50,937.7399999999989,5,huber,temp_forest_mod,500,7,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.0514539761543551,-0.05398831792455239,17464239.534928232,17479439.788757127,4179.023753812394,4180.841995191534,NA,NA,2535.632932974812,2530.1207627029135
51,1049.2610000000004,5,huber,temp_forest_mod,1000,7,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.05105356425957219,-0.053638924432092505,17457588.849875238,17473645.414749205,4178.227955709841,4180.148970401558,NA,NA,2535.613153155664,2530.1554662515514
52,1012.277,5,huber,temp_forest_mod,300,10,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.08811117621970155,-0.08972329456104156,18073101.298866265,18072071.94781192,4251.247028680675,4251.125962355376,NA,NA,2536.915260309186,2530.965351293674
53,1043.5150000000012,5,huber,temp_forest_mod,500,10,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.08847763658522378,-0.09003379778329346,18079188.062289752,18077221.36198024,4251.962848178445,4251.731572192703,NA,NA,2537.0859159012593,2531.0481776694223
54,1267.092999999999,5,huber,temp_forest_mod,1000,10,0.001,1e-4,0.632,56,Eigen,16,0.8,-0.08580243782277663,-0.08785164228213538,18034754.0565696,18041032.293236762,4246.734516845808,4247.473636555825,NA,NA,2535.8996257611407,2530.5722194482923
55,65.15899999999965,5,huber,temp_forest_mod,300,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,-0.108846475700767,-0.1060986022692072,18417506.517904248,18343641.566032052,4291.562246770312,4282.947765970542,NA,NA,2549.168105628388,2536.6117370729603
56,105.31800000000112,5,huber,temp_forest_mod,500,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,-0.10579776522394635,-0.10305711828360442,18366868.62861253,18293201.31418989,4285.6584824986385,4277.055215237452,NA,NA,2548.920152732704,2536.33624656179
