mod_num,time_to_create,nfolds,ntrees,max_depth,mtries,min_split_improvement,sample_rate,categorical_encoding,histogram_type,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,logloss
1,13240.345,5,100,20,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.9404130971100262,-9.930433339343484,0.07448362861246724,0.12115521474884676,0.2729168895698235,0.3480735766312157,0.4269534660558579
2,7904.271000000001,5,100,15,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.887002819419968,-19.270604069927206,0.14124647572504015,0.2246836253363388,0.37582772080441346,0.4740080435354856,0.6465404307748708
3,4262.903000000002,5,100,10,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.805785892053303,-28.98086736229719,0.24276763493337128,0.3323142194702755,0.4927145572574158,0.5764670150756898,0.8705565850294226
4,3028.291000000001,5,100,7,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.7419504799080341,-33.89043525721031,0.32256190011495744,0.386732899330956,0.5679453319774338,0.6218785245777153,0.9922829796587924
5,2225.6309999999976,5,100,5,20,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.6868694896401027,-37.079282223335895,0.39141313794987165,0.42207874765990794,0.6256301926456808,0.6496758789272601,1.0752111955900558
6,6445.826000000005,5,100,20,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.787677126937546,-20.635935137884196,0.2654035913280675,0.23981724114150477,0.5151733604604061,0.48971138555429233,0.682257493241157
7,4651.867999999995,5,100,15,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.7742954176440296,-23.966486567817444,0.282130727944963,0.2767337714562926,0.5311597951134508,0.5260549129665957,0.7558320443154034
8,3160.586000000003,5,100,10,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.7416356411362528,-28.928860270846616,0.322955448579684,0.33173776196511173,0.5682916932172104,0.5759668063049396,0.8675028131283363
9,2329.741000000002,5,100,7,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.7039673276519849,-33.09710293696804,0.3700408404350189,0.3779394375676253,0.6083098227342864,0.6147677915828262,0.9667929628041343
10,1764.8009999999995,5,100,5,20,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.6641595630871808,-36.70500097844676,0.4198005461410241,0.41793013587177436,0.6479201695741722,0.6464751626101148,1.056759014679287
11,9182.096999999994,5,100,20,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.9258525055592066,-11.434805370421767,0.09268436805099176,0.1378299897398258,0.3044410748420649,0.371254615782519,0.46873869025840587
12,5375.125,5,100,15,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.8683612823610454,-21.211236863845002,0.1645483970486934,0.24619400608670408,0.40564565454185925,0.49617940917243236,0.6940031533607733
13,3083.9279999999926,5,100,10,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.7831174112570012,-30.90605476619831,0.27110323592874863,0.353653400279499,0.5206757493188526,0.5946876493416514,0.9162818729802386
14,2082.678,5,100,7,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.7130630414014707,-36.03557830135827,0.3586711982481618,0.410510114571386,0.598891641491315,0.6407106324788016,1.0387255418020342
15,1413.7100000000064,5,100,5,7,0.001,0.632,EnumLimited,RoundRobin,16,0.8,0.6597580231716917,-39.358700490522615,0.4253024710353855,0.4473442976239168,0.6521521839535505,0.6688380204682721,1.1191568102170102
16,2909.1340000000055,5,100,20,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.6921323036704039,-33.66262520980675,0.38483462041199523,0.384207805004112,0.6203504013152529,0.6198449846567382,0.9735091192279635
17,2283.881999999998,5,100,15,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.692296446608023,-34.34450589879095,0.3846294417399714,0.3917659135202319,0.6201850060586529,0.6259120653256589,0.9889116056838784
18,1580.423999999999,5,100,10,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.6818679122060043,-36.20240159010747,0.39766510974249464,0.412359218879151,0.6306069375946435,0.6421520216266169,1.0321170856554216
19,1145.3150000000023,5,100,7,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.6543898033414812,-39.020537954317994,0.43201274582314864,0.4435960331752956,0.6572767650108656,0.6660300542582862,1.1003747617378044
20,876.5050000000047,5,100,5,7,0.01,0.632,EnumLimited,RoundRobin,16,0.8,0.6255395602761082,-41.47415591576353,0.4680755496548647,0.4707924490722354,0.6841604706900748,0.6861431695151059,1.160678532413361
