mod_num,time_to_create,nfolds,distribution,model_id,ntrees,max_depth,learn_rate,min_split_improvement,sample_rate,nbins,categorical_encoding,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,logloss
1,1604.65,5,multinomial,temp_forest_mod,300,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5617652565542404,-47.58970419449061,0.5477934293071995,0.5385784683464375,0.7401306839384512,0.7338790556668295,1.3288109348069168
2,2574.5789999999997,5,multinomial,temp_forest_mod,500,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5680443461236742,-46.51097826566991,0.5399445673454074,0.5266216439915423,0.7348092047228365,0.7256870151735818,1.3034916236414036
3,5114.063999999999,5,multinomial,temp_forest_mod,1000,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5803069918925758,-44.486952853648404,0.5246162601342802,0.50418692197847,0.7243039832378946,0.7100612100223966,1.2610962506688348
4,2450.799000000001,5,multinomial,temp_forest_mod,300,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5704965897637724,-46.696090189846274,0.5368792627952846,0.5286734633686784,0.7327204533758319,0.7270993490360711,1.3056469823924486
5,4097.1810000000005,5,multinomial,temp_forest_mod,500,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5813960891204014,-45.1607218386818,0.5232548885994983,0.5116551186673431,0.7233635936370438,0.7153007190457333,1.270349411167035
6,8129.790000000001,5,multinomial,temp_forest_mod,1000,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6012895918110133,-42.41719081323841,0.4983880102362334,0.48124524558744547,0.7059660120970651,0.6937184195244102,1.2123353788592366
7,3361.416000000001,5,multinomial,temp_forest_mod,300,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5783979203920631,-46.093575889377455,0.5270025995099213,0.521995068542391,0.7259494469382295,0.7224922619256147,1.2901702882607602
8,5558.315999999999,5,multinomial,temp_forest_mod,500,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5938665018801257,-44.26840905133429,0.507666872649843,0.5017645366549082,0.7125074544521222,0.7083533981388868,1.2480428053660455
9,11132.36,5,multinomial,temp_forest_mod,1000,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6231103797794966,-41.08313554939886,0.47111202527562945,0.4664582973522332,0.6863760086684481,0.6829775233140789,1.1798408858314402
10,5233.883000000001,5,multinomial,temp_forest_mod,300,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.5970752135889968,-45.09350156144475,0.503655983013754,0.5109100350214077,0.7096872430963896,0.714779710835029,1.2648822803509099
11,8691.281,5,multinomial,temp_forest_mod,500,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6223264498269705,-42.845998312497386,0.4720919377162869,0.48599823781069407,0.6870894684946691,0.6971357384402941,1.2124141000724777
12,8914.715,5,multinomial,temp_forest_mod,1000,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6662717437502558,-39.17337369498119,0.4171651520277885,0.4452900965675216,0.6458832340506978,0.6673006043512336,1.130687310766968
13,3679.4259999999995,5,multinomial,temp_forest_mod,300,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6159156627605045,-44.41697770738677,0.4800248693421531,0.5034113027866952,0.692838270696815,0.7095148361991419,1.240588285005754
14,6490.632000000001,5,multinomial,temp_forest_mod,500,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6526470585925893,-41.94329043054072,0.4342994086646579,0.4759924343902319,0.6590139669723684,0.6899220495028637,1.1832499393914897
15,17789.715,5,multinomial,temp_forest_mod,1000,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.7128663015568969,-36.32166083733263,0.359051664435651,0.4136811133786437,0.5992091992248209,0.6431804671930296,1.0668658862136082
16,8149.565999999999,5,multinomial,temp_forest_mod,300,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6427175475223518,-42.949014729821464,0.44668556482496735,0.4871400933781793,0.6683453933595768,0.6979542201163191,1.2060153800030904
17,13698.142,5,multinomial,temp_forest_mod,500,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.6894473809990338,-39.53122413494256,0.38834904817378646,0.44925658586904216,0.6231765786466837,0.6702660560322611,1.1138084980576788
18,27347.117,5,multinomial,temp_forest_mod,1000,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.7655330272197801,-34.29008985843679,0.29305286438061273,0.3911627547203735,0.5413435733253077,0.6254300558178936,1.0005556382937137
19,1102.2839999999997,5,multinomial,temp_forest_mod,300,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5511574874465259,-49.49000560284656,0.5608462220309403,0.5596418075635751,0.7488966697956002,0.748092111683832,1.3787822787544763
20,1829.9229999999952,5,multinomial,temp_forest_mod,500,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5520581872152113,-49.3327666186726,0.559781810061095,0.5578989376971155,0.7481856788666132,0.7469263268201995,1.3742977041378297
21,3628.720000000001,5,multinomial,temp_forest_mod,1000,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5542471690631333,-48.95083490429728,0.5571941554100919,0.553665526501241,0.746454389370236,0.7440870422882265,1.3636744507054788
22,1730.7050000000017,5,multinomial,temp_forest_mod,300,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5522268558185492,-49.39387742097475,0.5595702622112603,0.558576302641993,0.7480442916106373,0.7473796241817092,1.3759842823992832
23,2875.5350000000035,5,multinomial,temp_forest_mod,500,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.553858156527021,-49.168393999175414,0.5576671910549523,0.5560769971211339,0.7467711771720654,0.7457057040958812,1.3695478255235483
24,5727.241999999998,5,multinomial,temp_forest_mod,1000,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.557666436682583,-48.6155418031331,0.553114762762678,0.5499490674721982,0.7437168565809693,0.7415855092113102,1.354301643255479
