mod_num,time_to_create,nfolds,distribution,model_id,ntrees,max_depth,learn_rate,min_split_improvement,sample_rate,nbins,categorical_encoding,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,logloss
25,2382.196000000011,5,multinomial,temp_forest_mod,300,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5532497294014131,-49.33246565222382,0.5585247232860566,0.5578956017218982,0.7473451165867457,0.7469240936814786,1.37396358998125
26,3919.928999999989,5,multinomial,temp_forest_mod,500,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5553257167174765,-49.06006530362188,0.5559111436712861,0.5548762591480099,0.7455944901025531,0.7449001672358584,1.3661443036566436
27,7848.317999999999,5,multinomial,temp_forest_mod,1000,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5600331561209818,-48.39356375818637,0.5496975015368017,0.5474886162832917,0.7414158762373528,0.7399247369045663,1.3481276561211764
28,3854.133999999991,5,multinomial,temp_forest_mod,300,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5552581848627018,-49.20695724240777,0.55601629531885155,0.5565044401940824,0.7456650020745587,0.7459922521005714,1.3708425672474123
29,6337.80799999999,5,multinomial,temp_forest_mod,500,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5585792557261668,-48.84751985896385,0.5518222759316774,0.5525203608782914,0.7428474109342224,0.743317133448632,1.360549725256799
30,12659.284,5,multinomial,temp_forest_mod,1000,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5672563376480353,-47.974187619801306,0.5409680731930694,0.5428401632412977,0.7355053182629405,0.7367768748008434,1.3389249614637073
31,5381.068999999989,5,multinomial,temp_forest_mod,300,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5574501562514181,-49.09896285189341,0.5531098539783695,0.5553074077281012,0.7437135564035185,0.745189511284278,1.3679129734345
32,8970.21100000001,5,multinomial,temp_forest_mod,500,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5628840445966241,-48.78075688224048,0.5465603504606303,0.5517803460471248,0.7392972003603357,0.7428191879906744,1.3585578857467602
33,17886.371000000014,5,multinomial,temp_forest_mod,1000,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5742982284509643,-47.85050250486417,0.5322752101537191,0.5414692114961819,0.7295719362432461,0.7358459155938707,1.332136870373525
34,8262.241000000009,5,multinomial,temp_forest_mod,300,10,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5608996366568306,-48.94867814148152,0.54909133738471,0.5536416204900159,0.7410069752604965,0.7440709781264256,1.3632114549358763
35,13588.989000000001,5,multinomial,temp_forest_mod,500,10,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5678125709453321,-48.40185223313912,0.5402903760246924,0.5475804874773849,0.7350444721407626,0.7399868157456488,1.3474307222070032
36,27485.04800000001,5,multinomial,temp_forest_mod,1000,10,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.5854962236733771,-47.22843186894066,0.518367092835922,0.5345740501476391,0.7199771474400573,0.7311457106128977,1.312247856375256
